0,1,2,3,4,5
,Table 2 Clinical and laboratory findings of the admitted patients according to age (n = 373),,,,
Age groups,0-15 y,16-40 y,41-64y,≥ 65 y,P
,(n = 217),(n = 100),(n = 35),(n = 21),
Clinical Characteristics,,,,,
"Age, mean (y)",6.2 ± 3.7,25.2 ± 7,51.9 ± 6.7,74 ± 5,< 0.001
Male/female,132/85,45/55,14/21,5/16,< 0.001
"Duration of
fever
(d)",,,,,
Before admission,2.0 ± 1.9,2.0 ± 1.1,1.7 ± 1.5,1.5 ± 1.3,0.045
Total duration,2.3 ± 1.0,2.9 ± 1.3,3.0 ± 1.7,4.1 ± 3.0,< 0.01
"Oseltamivir, < 48 h*",205 (94),89 (89),29 (83),15 (71),NS
Hospitalisation (d),4.9 ± 1.5,5.4 ± 2.2,5.2 ± 2.9,8.8 ± 5.1,< 0.001
Pneumonia,,,,,
"Number
(%)",80 (37),16 (16),9 (29),11 (52),NS
Male/female,60/20,4/11,4/5,3/8,< 0.001
Underlying diseases,17 (7.8),15 (15),15 (42.9),16 (76.2),< 0.001
Laboratory findings,,,,,
Haemoglobin (g/dL),12.6 ± 0.9,13.5 ± 2.1,13.1 ± 1.6,12.9 ± 1.4,< 0.001
Leukocyte (×109/L),7.4 ± 3.6,6.4 ± 2.6,6.8 ± 2.8,7.6 ± 3.2,< 0.001
"Neutrophil
(%)",63 ± 19,66 ± 15,71 ± 14,64 ± 17,NS
Lymphocyte (%),27 ± 17,23 ± 13,20 ± 12,24 ± 14,0.037
Monocyte (%),9 ± 4,8 ± 4,8 ± 4,9 ± 4,NS
"Platelet
(×109/L)",230 ± 59,202 ± 46,204 ± 51,198 ± 55,0.001
CRP (mg/dL),1.6 ± 2.0,2.4 ± 3.8,3.8 ± 4.6,6.1 ± 6.9,< 0.001
ESR (mm/h),17 ± 12,19 ± 17,37 ± 22,42 ± 19,< 0.001
,"CRP; C-reactive protein, ESR; erythrocyte sedimentation rate. NS, statistically non-specific",,,,
