0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,2013,,,2014,,,2015,,,2016,,,2017,
,Total,,,,,,,,,,,,,,,
,,N,,%,N,,%,N,,%,N,,%,N,,%
Total,,,,,,,,,,,,,,,,
,"11,173","1,385",,100.0,"2,171",,100.0,786,,100.0,"1,481",,100.0,"5,350",,100.0
(causative agents),,,,,,,,,,,,,,,,
Shigella,164,65,,4.7,36,,1.7,19,,2.4,16,,1.1,28,,0.5
Vibrio cholerae O1,,,,,,,,,,,,,,,,
,7,3,,0.2,-,,-,-,,-,-,,-,4,,0.1
Ogawa,,,,,,,,,,,,,,,,
Vibrio cholerae,,,,,,,,,,,,,,,,
,2,1,,0.1,1,,0.1,-,,-,-,,-,-,,-
"O139, CTX-",,,,,,,,,,,,,,,,
EHEC,57,5,,0.4,5,,0.2,5,,0.6,27,,1.8,15,,0.3
Vibrio cholerae,,,,,,,,,,,,,,,,
,62,9,,0.6,17,,0.8,4,,0.5,3,,0.2,29,,0.6
non O1,,,,,,,,,,,,,,,,
Vibrio vulnificus,4,2,,0.1,1,,0.1,-,,-,1,,0.1,-,,-
EPEC,"5,387",377,,27.2,811,,37.3,409,,52.0,718,,48.5,"3,072",,57.4
ETEC,"4,160",673,,48.6,"1,007",,46.4,231,,29.4,586,,39.6,"1,663",,31.1
Vibrio,,,,,,,,,,,,,,,,
,615,100,,7.2,131,,6.0,50,,6.4,70,,4.7,264,,4.9
parahaemolyticus,,,,,,,,,,,,,,,,
Campylobacter,475,90,,6.5,111,,5.1,53,,6.7,27,,1.8,194,,3.6
Salmonella,161,30,,2.2,29,,1.3,8,,1.0,20,,1.4,74,,1.4
EIEC,79,30,,2.2,22,,1.0,7,,0.9,13,,0.9,7,,0.1
