0,1,2,3,4,5,6,7,8,9
,,,Paramyxovirus Antigens,,,Betacoronavirus Antigens,,,Overall Summary
,,HeV,CedV,NiV,TioV,SARS-CoV,MERS-CoV,,
,,,,,,,,PaV,CoV
Species,N,SeP,"N
SeP","N
SeP","N
SeP","N
SeP","N
SeP",,
,,,,,,,,Range,Range
,,3,6,3,6,3,3,,
C. gouldii,66(2),,66(4),68(2),68(4),66(2),68(2),3–6,3
,,(0.8–10.4),(2.4–14.6),(0.8–10),(2.3–14.2),(0.8–10.4),(0.8–10.1),,
,,8.3,10.3,,3.3,6.7,1.6,,
C. morio,60(5),,58(6),59(0),58(2),59(4),60(1),3.3–10.3,1.6–6.7
,,(3.6–18.0),(4.8–20.7),,(0.9–11.5),(2.6–16),(0.2–8.7),,
F. mackenziei,7(7),NC,"7(7)
NC","7(3)
NC",7(0),7(0),7(0),NC,
,,,,3.8,,,,,
N. geoﬀroyi,27(0),,26(0),26(1),26(0),26(0),27(0),NC,
,,,,(0.6–1.8),,,,,
,,3,1.6,,,10,,,
N. gouldi,69(2),,63(2),67(0),69(0),67(7),70(0),1.6–3,10
,,(0.8–10),(0.3–8.4),,,(5.1–20),,,
N. major,5(0),,5(0),5(0),"5(1)
NC","5(2)
NC",4(0),NC,NC
S. balstoni,2(0),,2(0),2(0),2(0),2(0),2(0),,
"V
. baverstocki",1(0),,1(0),1(0),1(0),1(0),1(0),,
,,4.8,6.1,0.6,1.3,6,2.5,,
"V
. regulus",147(7),,146(9),150(1),154(2),150(9),155(4),0.6–6.1,2.5–6
,,(2.3–9.5),(3.2–11.3),(0.1–3.7),(0.3–4.6),(3–11),(1.0–6.4),,
A. australis,11(0),,11(0),11(0),"11(1)
NC","11(1)
NC",11(0),NC,NC
O. sp,1(0),,1(0),1(0),1(0),1(0),1(0),,
