0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,Diarrheaa or virus sheddingb at PID:,,,,
"Group, virus, and",,Age (days),,,,,,,,,Serocon-
,,,Clinical sign,,,,,,,,
calf no.,at,inoculation,,,,,,,,,versionc
,,,,1,2,3,4,5,6,7,
"Group 1, IND/A",,,,,,,,,,,
,,,,2,1,1,,,,,
1,,5,Diarrhea,,,,EUT,,,,ND
,,,Virus shedding,2/2/2,1/1/1,1/1/1,,,,,
,,,,2,1,1,1,,,,
2,,4,Diarrhea,,,,,EUT,,,ND
,,,Virus shedding,2/2/2,1/1/1,1/1/1,1/1/1,,,,
"Group 2,d NCDV/A",,,,,,,,,,,
,,,,1,1,,,,,,
3,,5,Diarrhea,,,EUT,,,,,ND
,,,Virus shedding,2/2/2,2/2/2,,,,,,
,,,,,,,,,,,1
4e,,6,Diarrhea,1/2,1/2,1/2,1/2,1/2,1/2,1/2,
,,,Virus shedding,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,
,,,,,,,,,,,1
5e,,6,Diarrhea,1/2,1/2,1/2,1/2,1/2,1/2,1/2,
,,,Virus shedding,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,
"Group 3, WD534tc/C",,,,,,,,,,,
,,,,1,1,1,1,1,1,1f,1
6,,6,Diarrhea,,,,,,,,
,,,Virus shedding,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,
,,,,1,1,1,1,1,1,1f,1
7,,21,Diarrhea,,,,,,,,
,,,Virus shedding,1/2/2,1/2/2,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,
,,,,2,2,1,1,1,1,1f,1
8,,2,Diarrhea,,,,,,,,
,,,Virus shedding,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,
,,,,2,2,1,,,,,
9,,6,Diarrhea,,,,EUT,,,,ND
,,,Virus shedding,1/1/2,2/2/2,2/2/2,,,,,
"Group 4, Cowden/C",,,,,,,,,,,
,,,,2,2,2,2,2,2,2,1
10,,8,Diarrhea,,,,,,,,
,,,Virus shedding,2/1/2,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,
"a 1,","fecal consistency of $2; 1/2, questionable or mild diarrhea (fecal consistency of 1); 2, no diarrhea (normal",,,,,,,,"feces). EUT, euthanized for histopathology.",,
