0,1,2,3,4,5,6,7,8,9,10,11,12
,"Table 2. Q-PCR results collected on three housekeeping genes (HGK)—GAPD, GUSB and TFRC—considering the sample aliquots grouped by quality metrics",,,,,,,,,,,
categories,,,,,,,,,,,,
,Quality metrics,,,Q-PCR,,,Relative,Fold differences,,,,
,,,,,,,expression (%),,,,,
,Metrics,IC,N,2(cid:1)DDCt,IC,IC-rep,,,Between categories,,Within,Technical
,,(P = 0.05),,,(P = 0.05),(P = 0.05),,,,,categories,variation
RIN,9,—,1,1.00,—,0.04,—,—,,,—,1.1
,8.1,0.2,6,0.76,0.06,0.03,(cid:1)24,[1.2–1.4],—,,<1.2,1.1
,6.1,0.6,6,0.30,0.04,0.00,(cid:1)70,[3.0–3.8],[2.1–3.2],—,<1.3,1.0
,3.7,1.0,3,0.18,0.04,0.01,(cid:1)82,[4.5–7.4],[3.2–6.1],[1.2–2.5],<1.6,1.1
DegFact,4.9,—,1,1.00,—,0.04,—,—,,,—,1.1
,5.8,0.6,7,0.69,0.08,0.03,(cid:1)31,[1.3–1.6],—,,<1.3,1.1
,13.9,1.8,5,0.31,0.05,0.01,(cid:1)69,[2.9–3.8],[1.8–3.0],—,<1.3,1.0
,26.3,3.8,3,0.18,0.04,0.01,(cid:1)82,[4.5–7.4],[2.8–5.7],[1.2–2.6],<1.6,1.2
