0,1,2,3,4,5,6,7
,Table 3. Means and 95% CIs for South Africa Inﬂuenza A(H1N1)2009pdm.,,,,,,
,,Informative Prior,,,Uniform Prior,,White and Pagano
,C ILI,P ILI,Australia,K = 5,K = 6,K = 5,K = 6
R0,1.36,1.41,1.43,1.38,1.46,1.36,1.47
,"1.27, 1.45","1.32, 1.51","1.35, 1.53","1.28, 1.49","1.34, 1.60","1.06, 2.65","1.08, 2.81"
μ,2.00,2.33,2.42,2.19,2.66,2.07,2.70
,"1.62, 2.42","1.92, 2.81","2.06, 2.85","1.66, 2.67","2.03, 3.29","1.08, 3.70","1.35, 4.37"
p1,0.55,0.45,0.42,0.56,0.49,0.57,0.50
,"0.43, 0.67","0.38, 0.61","0.31, 0.52","0.43, 0.70","0.35, 0.63","0.08, 0.96","0.10, 0.85"
p2,0.19,0.15,0.21,0.15,0.15,0.22,0.20
,"0.09, 0.32","0.07, 0.25","0.12, 0.31","0.04, 0.29","0.04, 0.28","0.00, 0.54","0.00, 0.49"
p3,0.04,0.08,0.11,0.03,0.03,0.00,0.00
,"0.01, 0.11","0.03, 0.15","0.06, 0.19","0.00, 0.10","0.00, 0.09","0.00, 0.42","0.00, 0.38"
p4,0.12,0.14,0.11,0.05,0.04,0.00,0.00
,"0.04, 0.23","0.06, 0.24","0.05, 0.20","0.00, 0.18","0.00, 0.13","0.00, 0.41","0.00, 0.32"
p5,0.09,0.07,0.11,0.20,0.10,0.21,0.00
,"0.00, 0.22","0.01, 0.18","0.04, 0.20","0.04, 0.35","0.01, 0.26","0.00, 0.57","0.00, 0.39"
p6,,0.06,0.04,,0.18,,0.30
,,"0.00, 0.18","0.00, 0.14",,"0.02, 0.35",,"0.00, 0.61"
