0,1,2,3,4,5,6,7,8,9,10,11
,Dose  mg/,,,,,,,,,,
Groups  n = 6,,0 hr  PETa,% INb,1 hr  PETa,% INb,2 hr  PETa,% INb,4 hr  PETa,% INb,6 hr  PETa,% INb
,kg,,,,,,,,,,
Inflamed,,3.95±0.09,0.00,5.76±0.12,0.00,6.51±0.11,0.00,6.97±0.10,0.00,4.88±0.13,0.00
Inflamed + Indom.c,10,3.94±0.14,0.25,5.39±0.14*,6.42,3.41±0.15*,47.62,3.12±0.08*,55.24,2.99±0.07*,38.73
Inflamed + 1,10,3.89±0.12,1.52,3.97±0.11*,29.98,3.77±0.12*,42.09,3.51±0.07*,49.64,3.24±0.11*,33.61
Inflamed + 2,10,3.87±0.07,2.03,3.94±0.10*,31.60,3.62±0.06*,44.39,3.38±0.13*,51.51,3.08±0.12*,36.89
Inflamed + 3,10,3.93±0.12,0.51,4.37±0.10*,24.13,3.99±0.13*,38.71,3.74±0.11*,46.34,3.49±0.13*,28.48
Inflamed + 4,10,3.94±0.14,0.25,4.32±0.15*,25.00,3.91±0.11*,39.94,3.70±0.09*,46.92,3.42±0.15*,29.92
Inflamed + 5,10,3.91±0.08,1.01,4.07±0.14*,29.34,3.87±0.09*,40.55,3.69±0.11*,47.06,3.31±0.08*,32.17
