0,1,2,3,4,5,6,7
,,,Central nervous system tissuea,,,,Peripheral tissuea
Virus strain and day,,,,,,,
of sacriﬁce p.i.,No. of mice,Cerebrum,Brainstem,Cerebellum,Spinal cord,Muscle,
AM,,,,,,,
3,3,3/0,3/0,3/1,1/0,2/0,0/0
5,3,3/0,0/0,3/0,1/0,3/0,3/0
7,3,1/0,0/0,3/0,1/0,1/0,0/0
21,7,0/1,0/2,0/0,0/0,0/0,0/0
AM-5Cb,,,,,,,
3,3,3/0,3/0,3/0,2/0,3/0,3/0
5,3,3/2,2/0,3/3,2/0,2/0,3/0
7,3,3/1,2/1,2/0,3/0,3/0,0/0
21,7,1/7,0/4,0/3,0/4,0/5,0/0
,a Values represent the number of animals positive for viral antigen/number of animals positive for degeneration or inﬂammatory reactions.,,,,,,
