0,1,2,3,4,5,6,7,8,9,10,11,12,13
Table 7,,,,,,,,,,,,,
Hotspot-challenge nexus.,,,,,,,,,,,,,
Hotspots,TRL level,,,,,,,Economic,Relevant,Institutional,Social,Cultural,Education/
,,,,,,,,feasibility,policy,behavior,acceptance,tradition,training
,"1
2
3",4,5,6,7,8,9,,,,,,
Hygienization of excreta,,,,,,,,,,,,,
Storage,,,,,,,✓,+++,+,−,+,−,−
Alkaline additives,,✓,,,,,,N/A,−,−,−,−,−
Thermal treatment,,✓,,,,,,N/A,−,−,−,−,−
Resource recovery from excreta,,,,,,,,,,,,,
MAP/MPP,,,,,,✓,,N/A,−,−,−,−,−
Compost,,,,,,,✓,+++,+,+,+,−,−
Anaerobic digestion,,,,,,,✓,+++,++,++,+,+,+
Ammonia stripping,,,,,,✓,,N/A,−,−,−,−,−
MFC,,,,,,✓,,N/A,−,−,−,−,−
MEC,,,,,,✓,,N/A,−,−,−,−,−
Micro-pollutants control of excreta,,,,,,,,,,,,,
Nano ﬁltration,,✓,,,,,,N/A,−,−,−,−,−
Active carbon,,✓,,,,,,N/A,−,−,−,−,−
adsorption,,,,,,,,,,,,,
Advanced oxidation,,✓,,,,,,N/A,−,−,−,−,−
