0,1,2,3,4,5,6,7,8,9,10,11
"Estimated lot defective proportion—the average proportion defective—after repeated samples when the true defective proportion is 1%, 5%, and 15%",,,,,,,,,,,
,,,,,Number of Repeated Samples,,,,,,
,Sample Size,1,2,3,4,5,6,7,8,9,10
,5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,10,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%
,12,0%,4%,3%,2%,2%,3%,1%,1%,1%,1%
,18,0%,0%,0%,1%,2%,3%,2%,1%,1%,1%
1% True Lot Defective Proportion,24,4%,4%,3%,2%,3%,2%,2%,2%,1%,2%
,32,3%,3%,2%,2%,1%,1%,1%,1%,1%,1%
,40,0%,0%,1%,1%,1%,1%,1%,1%,1%,1%
,50,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%
,100,1%,3%,3%,2%,2%,2%,2%,2%,1%,1%
,5,0%,10%,13%,10%,8%,7%,6%,5%,4%,4%
,10,0%,0%,0%,3%,6%,7%,7%,6%,6%,6%
,12,8%,8%,11%,10%,8%,7%,6%,6%,6%,7%
,18,0%,6%,4%,4%,4%,4%,6%,6%,6%,6%
5% True Lot Defective Proportion,24,0%,2%,1%,2%,4%,6%,7%,6%,6%,6%
,32,6%,5%,5%,5%,4%,5%,4%,4%,3%,3%
,40,3%,4%,2%,3%,3%,3%,3%,3%,4%,3%
,50,0%,5%,3%,4%,5%,5%,5%,5%,5%,5%
,100,3%,4%,4%,5%,5%,5%,5%,5%,5%,5%
,5,20%,20%,27%,20%,16%,13%,11%,10%,9%,10%
,10,50%,35%,27%,25%,22%,18%,17%,18%,17%,17%
,12,25%,21%,19%,17%,13%,11%,16%,10%,12%,13%
,18,11%,14%,17%,15%,17%,15%,12%,13%,12%,13%
15% True Lot Defective Proportion,24,38%,17%,12%,19%,18%,18%,13%,18%,18%,18%
,32,6%,13%,13%,15%,16%,17%,16%,15%,14%,15%
,40,10%,12%,12%,11%,13%,12%,12%,12%,14%,14%
,50,14%,13%,13%,12%,12%,14%,13%,13%,12%,12%
,100,15%,16%,15%,14%,14%,15%,15%,15%,14%,14%
