0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
PLOS ONE,,Table 5. Respiratory viruses co-infections in HIV-uninfected children hospitalized with lower,,,,,,,respiratory tract infections.,,,,,
,,hBoV,WUPyV,KIPyV,CoV-NL63,CoV-HKU1,CoV-OC43,CoV-229E,hRV,RSV4,hMPV5,PIV4,Influenza A4,Adenovirus4
| www.plosone.org,Positive samples1,125 (13.3),112 (12.0),45 (4.8),24 (2.6),15 (1.6),34 (3.6),4 (0.42),302 (32.0),205 (21.8),90 (9.7),44 (4.7),48 (5.1),25 (2.7)
,Single infections2,32 (25.6),31 (27.7),10 (22.2),5 (20.8),6 (40.0),8 (23.5),1 (25.0),147 (48.7),128 (62.4),46 (51.1),16 (36.4),27 (56.3),10 (40.0)
,Co-infections with3:,,,,,,,,,,,,,
,hBoV,-,19 (17.0),5 (11.1),5 (23.8),2 (13.3),5 (14.7),0,37 (12.3),20 (9.8),8 (10.8),4 (9.1),8 (16.7),9 (36.0)
,WUPyV,19 (15.2),-,5 (11.1),3 (12.5),3 (20.0),7 (20.6),0,37 (12.3),14 (6.8),12 (16.2),4 (9.1),7 (14.6),4 (16.0)
,KIPyV,5 (4.0),5 (4.5),-,2 (8.3),1 (6.7),2 (5.9),2 (50.0),15 (5.0),3 (1.5),8 (10.8),6 (13.6),1 (2.1),3 (12.0)
,CoV-NL63,5 (4.0),3 (2.7),2 (4.4),-,1 (6.7),0,0,9 (3.0),6 (2.9),2 (2.7),0,1 (2.1),0
,CoV-HKU1,2 (1.6),3 (2.7),1 (2.2),1 (4.2),-,1 (2.9),0,2 (0.7),1 (0.5),2 (2.7),1 (2.3),0,0
,CoV-OC43,5 (4.0),7 (6.3),2 (4.4),0,1 (6.7),-,0,10 (3.3),6 (2.9),5 (6.8),3 (6.8),1 (2.1),1 (4.0)
,CoV-229E,0,0,2 (4.4),0,0,0,-,0,1 (0.5),1 (1.4),0,0,0
,hRV,37 (29.6),37 (33.0),15 (33.3),9 (37.5),2 (13.3),10 (29.4),0,-,41 (20.0),18 (24.3),13 (29.5),10 (20.8),4 (16.0)
,RSV4,20 (16.0),14 (12.4),3 (6.7),6 (25.0),1 (6.7),6 (17.6),1 (25.0),41 (13.6),-,4 (5.4),0,0,0
,hMPV5,8 (6.4),12 (10.6),8 (17.8),2 (8.3),2 (13.3),5 (14.7),1 (25.0),18 (6.0),4 (2.0),-,0,1 (2.1),0
,PIV4,4 (3.2),4 (3.5),6 (13.3),0,1 (6.7),3 (8.8),0,13 (4.3),0,0,-,0,0
,Influenza A4,8 (6.4),7 (6.2),1 (2.2),1 (4.2),0,1 (3.3),0,10 (3.3),0,1 (1.4),0,-,0
9,,,,,,,,,,,,,,
,Adenovirus4,9 (7.2),4 (3.5),3 (6.7),0,0,1 (2.9),0,4 (1.3),0,0,0,0,-
,1 viruses6,66 (52.8),53 (46.9),19 (42.2),9 (37.5),5 (33.3),15 (44.1),2 (50.0),118 (39.1),62 (30.2),32 (35.6),25 (56.8),13 (27.1),9 (36.0)
,2 viruses6,25 (20.0),22 (19.6),14 (31.1),10 (41.7),3 (20.0),7 (20.6),1 (25.0),33 (10.9),11 (5.4),7 (7.8),3 (6.8),8 (16.7),6 (24.0)
,3 viruses6,2 (1.6),6 (5.3),2 (4.4),0,1 (6.7),4 (11.8),0,4 (1.3),4 (2.0),5 (5.6),0,0,0
,Bacteraemia7,0,2 (1.9),0,1 (4.2),0,1 (3.0),0,11 (3.9),3 (1.6),1 (1.2),3 (7.0),1 (2.1),0
