0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Table 5. Cont.,,,,,,,,,,,,,,,,,,,,,,,,,
,Samplesa,,,,,,,,,,,,,,,,,,,,,,,,
,"C06,",,,"C29,",,,,,,,,,,,,,,,,,,,,,
,"C55,",,,"M40,",,,,,,,,,,,,"P176,",,,,,,,,,
,"T78,","C16,","C27,","M41,",,"C46,","M23,",,"P06,",,"P131,","P147,","P14,9","P151,",,"P186,",,"P19,",,"T33,",,,"T43,",,
Pathogen detected,V24,C61,C01,V39,"C41, T50",P54,M44,M28,P150,P108,V61,P191,P153,P181,P173,P213,P183,P88,T69,T39,,T36 T38,T44,,T65 V26
Rahnella,5,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-
Burkholderiacepacia,65,46,16,9,7,-,-,14,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
Acinetobacterbaumannii,"1,783","1,754",825,"1,301",778,"2,390","5,204",402,202,-,654,"2,107",208,"1,544",-,"1,347",17,556,-,179,-,-,179,-,50
Pseudomonasaeruginosa,81,37,32,134,16,115,97,29,131,-,61,167,163,211,-,196,-,274,17,16,-,-,7,-,-
Mycobacteriumtuberculosis,6,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Actinomycetales,"1,017",410,"2,283","1,141","7,369",575,692,357,"1,600",64,482,"1,049","1,106",779,13,753,122,"13,679",,"201 2,159",13,-,341,-,117
Burkholderiagladioli,-,4,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Malasseziaglobosa,21,10,87,17,145,103,34,267,-,43,578,12,111,48,123,102,-,136,31,77,11,75,57,-,42
Pseudomonasmendocina,124,106,53,242,56,109,160,46,146,-,73,201,137,205,-,214,-,370,50,17,-,-,3,-,-
Rhodotorulaglutinis,265,396,74,202,134,69,510,11,-,-,-,-,10,-,-,8,-,19,-,7,-,-,-,-,-
Staphylococcusepidermidis,27,110,62,19,149,27,57,9,52,-,18,-,50,205,-,62,-,-,29,6,-,-,3,-,-
Lysinibacillussphaericus,115,301,539,29,84,117,568,234,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-
Acidovorax,508,190,117,356,76,80,315,124,30,-,163,136,-,189,-,207,-,58,-,31,-,-,9,-,12
Fervidobacteriumnodosum,278,677,519,345,320,999,"1,152",164,349,-,270,681,"1,487","1,094",-,590,-,41,93,208,-,-,121,-,-
,"aWhen more than one sample were pooled for sequencing,",,,the code for,,the various samples is mentioned.,,,,,,,,,,,,,,,,,,,
,bNumber of valids DNA reads in the sample por,,the corresponding pathogen.,,,,,,,,,,,,,,,,,,,,,,
