0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,in association.,,,,,,,,,,,,,,,,,,
,,,,,,,,Enterovirus-Like,,,Parvovirus-Like,,Adenoviru,,,,,Coronavir,
,,,Negative,,Rotavirus,Astrovirus,,,,,,,,,,RSVLP,,,
Year,No.,,,,,,,,Virus,,Virus,,s,,,,,us,
,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,,%,No.,%,No.,,%
1994,14,12,85.7,1,7.1,0,0.0,1,7.1,0,0.0,0,,0.0,0,0.0,0,,0.0
1995,11,1,9.1,3,27.3,4,36.4,3,27.3,2,18.2,0,,0.0,0,0.0,0,,0.0
1996,7,1,14.3,0,0.0,3,42.9,3,42.9,0,0.0,0,,0.0,0,0.0,0,,0.0
1997,26,17,65.4,7,26.9,2,7.7,2,7.7,0,0.0,0,,0.0,0,0.0,0,,0.0
1998,49,28,57.1,10,20.4,16,32.7,3,6.1,1,2.0,0,,0.0,0,0.0,0,,0.0
1999,48,23,47.9,11,22.9,13,27.1,2,4.2,0,0.0,2,,4.2,0,0.0,4,,8.3
2000,41,19,46.3,14,34.1,10,24.4,0,0.0,4,9.8,1,,2.4,2,4.9,1,,2.4
2001,64,26,40.6,22,34.4,14,21.9,12,18.8,2,3.1,0,,0.0,0,0.0,0,,0.0
2002,77,46,59.7,11,14.3,17,22.1,0,0.0,6,7.8,2,,2.6,1,1.3,1,,1.3
2003,118,50,42.4,43,36.4,32,27.1,6,5.1,6,5.1,3,,2.5,0,0.0,4,,3.4
2004,26,11,42.3,6,23.1,13,50.0,1,3.8,0,0.0,1,,3.8,0,0.0,0,,0.0
Total,481,234,48.6,128,26.6,124,25.8,33,6.9,21,4.4,9,,1.9,3,0.6,10,,2.1
