0,1,2,3,4,5,6,7
Total protein,,,,,,,
(PR) or IgG,,,,,,,
,Average values ±S.E.,(mg/ml and % or A450)*,,,,,
type,,,,,,,
,,,,,"Ratio 1 and 3,",(mg/,Ratio (%) of 2 and 4
,Serum,,CSF,,,,
,,,,,ml)**,,"(p), **"
,"Abs or PRU, mg/ml",,,,,,
,(1),"Abs, % (2)","Abs or PR, mg/ml
(3)","Abs, % (4)",,,
Total protein,62.566.7,100,0.4860.09,100,136,,1.0
total-IgG,11.761.8,100,(6.063.1)61022,100,195,,1.0
l-IgG,1.460.07,12.360.6,(0.4860.1)61022,8.061.7,292,,1.54 (1.461026)
k-IgG,10.360.07,87.760.6,(5.5260.1)61022,9261.7,187,,0.95 (1.261026)
IgG1,6.361.2,53.6610.6,(2.4260.16)61022,40.462.7,260,,1.3 (4.661024)
IgG2,4.260.9,36.069.8,(2.9460.18)61022,49.063.0,143,,0.73 (3.761024)
IgG3,0.6660.14,5.661.2,(0.4960.04)61022,8.260.6,135,,0.68 (9.361026)
IgG4,0.5660.15,4.861.3,(0.1560.02)61022,2.560.4,373,,1.92 (1.561025)
Anti-MBP Absj,A450 = 0.3260.08,100,A450 = (1.460.72) 61023,100,229,,-
