0,1,2
Table 1. Key themes and sub-themes identified from key informants.,,
Key themes,,Sub-themes
• Case identifications,• Case definitions,
,• Actual case identification practice,
,• Tools for surveillance,
,• Lab confirmation,
• Reporting,• Generating reports,
,• Modes of reporting,
• Implementation gaps,• Weekly IDSR reports,
,• Trainings and supervision,
• Challenges,• Case identification,
,,• Compiling report for timely submission
,,"• Financial, capacity and infrastructure"
https://doi.org/10.1371/journal.pone.0200858.t001,,
