0,1,2,3,4,5,6,7,8,9,10
4628,,,,,Yew et al. Respiratory viruses among Malaysian young children,,,,,
,"Table 1 Distribution of respiratory viruses in children according to age, gender and ethnicity groups",,,,,,,,,
,,"Age group, n (%)",,,"Gender, n (%)",,,"Ethnicity, n (%)",,
,,,,"Total,",,,,,,
Variables,,,,,,,,,,
,≤12,13–36,37–60,,,,,,,
,,,,n (%),,,,,,
,,,,,Male,Female,Chinese,Indian,Malay,Others
,months,months,months,,,,,,,
,Samples (% of total sample received),,,,,,,,,
,Total sample received 212 (53.8),138 (35.0),44 (11.2),394 (100.0),225 (57.1),169 (42.9),66 (16.8),4 (1.0),298 (75.6),26 (6.6)
Positive samples,169 (42.9),115 (29.2),31 (7.9),315 (79.9),180 (45.7),135 (34.3),48 (12.2),4 (1.0),241 (61.2),22 (5.6)
,Respiratory virus identified (% of total positive samples within age/gender/ethnic group),,,,,,,,,
Enterovirus/rhinovirus,71 (42.0),35 (30.4),6 (19.4),112 (28.4),67 (37.2),45 (33.3),13 (27.1),1 (25.0),91 (37.8),7 (31.8)
RSV,53 (31.4),30 (26.1),2 (6.5),85 (21.6),42 (23.3),43 (31.9),16 (33.3),0,62 (25.7),7 (31.8)
Adenovirus,28 (16.6),25 (21.7),11 (35.5),64 (16.2),39 (21.7),25 (18.5),10 (20.8),1 (25.0),50 (20.7),3 (13.6)
HMPV,18 (10.7),10 (8.7),1 (3.2),29 (7.4),18 (10.0),11 (8.1),4 (8.3),0,23 (9.5),2 (9.1)
HBoV,18 (10.7),14 (12.2),2 (6.5),34 (8.6),17 (9.4),17 (12.6),3 (6.3),0,29 (12.0),2 (9.1)
Influenza A,2 (1.2),5 (4.3),6 (19.4),13 (3.3),11 (6.1),2 (1.5),2 (4.2),2 (50.0),9 (3.7),0
H1N1 subtype,2 (1.2),3 (2.6),6 (19.4),11 (2.8),9 (5.0),2 (1.5),1 (2.1),2 (50.0),8 (3.3),0
H3 subtype,0,1 (0.9),0,1 (0.25),1 (0.6),0,0,0,1 (0.4),0
Non-specific,0,1 (0.9),0,1 (0.25),1 (0.6),0,1 (2.1),0,0,0
Influenza B,1 (0.6),3 (2.6,4 (12.9),8 (2.0),5 (2.8),3 (2.2),1 (2.1),0,6 (2.5),1 (4.5)
Parainfluenza,13 (7.7),12 (10.4),2 (6.5),27 (6.9),16 (8.9),11 (8.1),3 (6.3),0,21 (8.7),3 (13.6)
Parainfluenza 1,0,2 (1.7),0,2 (0.5),1 (0.6),1 (0.7),1 (2.1),0,1 (0.4),0
Parainfluenza 2,0,1 (0.9),0,1 (0.3),1 (0.6),0,0,0,1 (0.4),0
Parainfluenza 3,9 (5.3),7 (6.1),1 (3.2),17 (4.3),8 (4.4),9 (6.7),1 (2.1),0,13 (5.4),3 (13.6)
Parainfluenza 4,4 (2.4),2 (1.7),1 (3.2),7 (1.8),6 (3.3),1 (0.7),1 (2.1),0,6 (2.5),0
Coronavirus,6 (3.6),2 (1.7),0,9 (2.3),4 (2.2),4 (3.0),2 (4.2),0,6 (2.5),1 (4.5)
NL63,1 (0.6),1 (0.9),0,2 (0.5),0,2 (1.5),0,0,2 (0.8),0
OC43,5 (3.0),0,0,6 (1.5),4 (2.2),1 (0.7),1 (2.1),0,4 (1.7),1 (4.5)
HKU1,0,1 (0.9),0,1 (0.3),0,1 (0.7),1 (2.1),0,0,0
,"RSV, respiratory syncytial virus; HMPV, human metapneumovirus; HBoV, human bocavirus.",,,,,,,,,
