0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,Table 2: Human Bocavirus studies in other developing countries between 20005 and 2016.,,,,,,,,,
,Study,,,Sampled,Tested,Positive,,,Sample,,Detection,,
Country,,Setting,Age range,,,,Hospitalized,Outpatient,,Symptoms,,HBoV type,Reference
,period,,,population,samples,samples (%),,,type,,method,,
"Argentina,",,,,,,,,,,Respiratory,,,
,,,,,,,,,,,Real time,,
Nicaragua and,-,-,< 6 years,children,568,132 (23%),568,-,Nasal,tract,,1,[77]
,,,,,,,,,,,PCR,,
Peru,,,,,,,,,,infection,,,
,,,,,,,,,,Respiratory,,,
,,,,,,,,,,,Real-time,,
Brazil,2007,Rural,<3 years,children,260,27 (10.4),260,-,Nasal,tract,,1,[121]
,,,,,,,,,,,PCR,,
,,,,,,,,,,infection,,,
,,,,,,,,,,Respiratory,Multiplex,,
,,,,,,,,,Throat,,,,
Cambodia,2009-2010,-,All,Children/adults,292,9 (3%),292,-,,tract,real-time,1,[85]
,,,,,,,,,"swabs, nasal",,,,
,,,,,,,,,,infection,PCR,,
,,,,,,,,,,,Multiplex,,
,2012,Peri-urban,≤ 5 years,children,122,-,-,-,Stool,Diarrhea,real-time,1,[91]
,,,,,,,,,,,PCR,,
,,,,,,,,,,Respiratory,,,
,2009-2014,-,All,Children/adults,12502,225 (2%),12502,-,Nasal,tract,PCR,1,[92]
China,,,,,,,,,,,,,
,,,,,,,,,,infection,,,
,,,,,,,,,,Respiratory,,,
,,,,,,,,,,,Real time,,
,2009-2014,Urban,<14 years,children,4242,125 (3%),4242,-,Nasal,tract,,1,[98]
,,,,,,,,,,,PCR,,
,,,,,,,,,,infection,,,
,2012-2013,Urban,< 6 years,children,346,60 (17.34%),346,-,Stool,Diarrhea,PCR,"1,2",[94]
,,,,,,,,,,Respiratory,,,
,,Rural/Peri-,,,,,,,Throat,,,,
India,2010-2011,,0–6 years,children,300,2 (0.6 %),300,-,,tract,PCR,1,[106]
,,urban,,,,,,,swabs,,,,
,,,,,,,,,,infection,,,
,,,,,,,,,,Respiratory,,,
,,,,,,,,,,,Real time,,
Jordan,2003-2004,Urban,≤ 5 years,children,326,57 (17%),326,-,Nasal,tract,,1,[108]
,,,,,,,,,,,PCR,,
,,,,,,,,,,infection,,,
,,,,,,,,,,Respiratory,,,
,,,8 days to 13,,,,,,,,,,
Philippines,2008-2009,Urban,,children,1242,2 (0.16),1242,-,Nasal,tract,PCR,1,[114]
,,,years,,,,,,,,,,
,,,,,,,,,,infection,,,
