0,1,2,3,4,5,6,7,8
,Table 1  Demographic  characteristics  and  risk  factors  of  children  1–15  years  old  with  respiratory  tract  infections  in  the,,,,,,,
,"community setting in the state of Veracruz, Mexico",,,,,,,
,Córdoba,Tierra Blanca,Veracruz,Poza Rica,Minatitlán,Total,p,
Demographic characteristics,"n 
 60","n 
 74","n 
 66","n 
 208","n 
 111","n 
 519",,
,=,=,=,=,=,=,,
"Male, n (%)",37 (60),36 (48),44 (67),108 (52),66 (59),291 (56),,
"Female, n (%)",23 (40),38 (52),22 (33),100 (48),45 (41),228 (44),,0.1
"Age in months (mean 
 SE)","30 
 4","32 
 4","32 
 5","57 
 3","44 
 4","45 
 2",,<0.005
±,±,±,±,±,±,±,,
"Age in months (median, range)",16 (1–191),16 (1–144),16 (1–180),43 (3–290),24 (0–192),26 (0–290),,<0.005
"Weight (kg 
 SE)","14.6 
 2","13.7 
 1","12 
 1","21 
 1","18 
 1","17 
 0.7",,<0.005
±,±,±,±,±,±,±,,
"Height (cm 
 SE)","87 
 3","87 
 3","52 
 1","102 
 2","96 
 3","93 
 1",,<0.005
±,±,±,±,±,±,±,,
Parental education,"n 
 60","n 
 71","n 
 18","n 
 211","n 
 111","n 
 461",,
,=,=,=,=,=,=,,
"None, n (%)",2 (3),0,0,0,0,2 (0.4),,
"Primary, n (%)",3 (5),8 (11),0,8 (4),5 (4.5),24 (5),,
"Middle school, n (%)",3 (5),20 (28),2 (17),36 (17),14,75 (16),,0.001
"High school, n (%)",13 (21),20 (28),4 (33),76 (36),32 (13),142 (31),,
"Bachelor, n (%)",39 (65),22 (31),6 (50),90 (43),57 (51),213 (46),,
"Postgraduate, n (%)",0,1 (2),0,1 (0.5),3 (3),5 (1),,
Socioeconomic level,"n 
 60","n 
 73","n 
 64","n 
 198","n 
 110","n 
 505",,
,=,=,=,=,=,=,,
"Low income, n (%)",4 (6),42 (57),1 (1),54 (37),16 (15),117 (23),,0.000
"Middle income, n (%)",56 (93),31 (42),40 (62),144 (73),94 (85),365 (73),,
"High income, n (%)",0,0,23 (36),0,0,23 (4),,
Risk factors,"n 
 57","n 
 71","n 
 66","n 
 208","n 
 110","n 
 514",,
,=,=,=,=,=,=,,
"Asthma, n (%)",3 (5),34 (48),3 (5),27 (13),28 (25),97 (22),,
"Allergic rhinitis, n (%)",4 (7),13 (18),17 (27),35 (20),58 (53),127 (25),,0.000
"Complete vaccination scheme, n (%)8 (14)",,61 (87),33 (100),204 (92),44 (42),333 (71),,
