0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Table 3 Distribution of S. flexneri and S. sonnei serotypes among patients with shigellosis in Beijing between 1994 and 2010 (by age group),,,,,,,,,,,,,,,,,,,
Age,,,,,,,,No.,(%) of isolates in serotypes,,,,,,,,,,
groups,,,,,,,,,,,,,,,,,,,
,Total,,,S.,flexneri,,S. flexneri,S.,flexneri,,S.,flexneri,,S. flexneri,,S.,flexneri,,S. flexneri
,,,,serotype 1a,,,serotype 1b,,serotype 2a,,serotype 2b,,,serotype 3a,,serotype 3b,,,serotype 4a
0–2,358,(6.03),8,,(4.68),0,(0.00),198,(6.28),3,,(2.17),2,(6.67),1,,(33.33),12,(6.94)
2–5,463,(7.80),10,,(5.85),2,(14.29),202,(6.41),9,,(6.52),1,(3.33),1,,(33.33),19,(10.98)
6–10,667,(11.24),16,,(9.36),3,(21.43),307,(9.74),10,,(7.25),5,(16.67),0,,(0.00),23,(13.29)
11–15,549,(9.25),12,,(7.02),0,(0.00),232,(7.36),13,,(9.42),0,(0.00),0,,(0.00),20,(11.56)
16–20,568,(9.57),17,,(9.94),1,(7.14),275,(8.72),16,,(11.59),5,(16.67),0,,(0.00),14,(8.09)
21–25,979,(16.50),37,,(21.64),3,(21.43),601,(18.84),31,,(22.46),7,(23.33),1,,(33.33),34,(19.65)
26–30,600,(10.11),19,,(11.11),0,(0.00),380,(12.05),17,,(12.32),3,(10.00),0,,(0.00),11,(6.36)
31–35,420,(7.08),18,,(10.53),1,(7.14),281,(8.91),11,,(7.97),2,(6.67),0,,(0.00),9,(5.20)
36–40,476,(8.02),8,,(4.68),2,(14.29),163,(5.17),12,,(8.70),3,(10.00),0,,(0.00),5,(2.89)
41–45,195,(3.29),7,,(4.09),0,(0.00),130,(4.12),3,,(2.17),0,(0.00),0,,(0.00),5,(2.89)
46–50,126,(2.12),4,,(2.34),1,(7.14),68,(2.16),3,,(2.17),0,(0.00),0,,(0.00),9,(5.20)
51–55,116,(1.95),3,,(1.75),1,(7.14),69,(2.19),3,,(2.17),0,(0.00),0,,(0.00),5,(2.89)
56–60,100,(1.69),2,,(1.17),0,(0.00),63,(2.00),1,,(0.72),0,(0.00),0,,(0.00),2,(1.16)
61–65,123,(2.07),3,,(1.75),0,(0.00),78,(2.47),1,,(0.72),0,(0.00),0,,(0.00),1,(0.58)
66–70,89,(1.50),1,,(0.58),0,(0.00),53,(1.68),2,,(1.45),0,(0.00),0,,(0.00),3,(1.73)
71–75,67,(1.13),5,,(2.92),0,(0.00),43,(1.36),3,,(2.17),2,(6.67),0,,(0.00),0,(0.00)
76–80,25,(0.42),1,,(0.58),0,(0.00),11,(0.35),0,,(0.00),0,(0.00),0,,(0.00),1,(0.58)
81–85,10,(0.17),0,,(0.00),0,(0.00),5,(0.16),0,,(0.00),0,(0.00),0,,(0.00),0,(0.00)
86–90,3,(0.05),0,,(0.00),0,(0.00),1,(0.03),0,,(0.00),0,(0.00),0,,(0.00),0,(0.00)
Total,"5,934",(100.00),17,,(2.88),1,(0.24),"3,160",(53.25),13,,(2.33),3,(0.51),3,,(0.05),17,(2.92)
