0,1,2,3,4,5,6,7,8,9,10
Table 2 Age distribution of viruses from outpatients with ARIs,,,,,,,,,,
Viruses,< 5 years (N = 84),(%),5~18 years (N = 139),(%),18~60 years (N = 161),(%),≥60 years (N = 42),(%),"Total
(N = 426)",(%)
Single infection,55 (65.5),,83 (59.7),,62 (38.5),,21 (50.0),,221 (51.9),
FluA,13 (15.5),,36 (25.9),,40 (24.8),,16 (38.1),,105 (24.6),
sH1N1,0 (0),,0 (0),,0 (0),,0 (0),,0 (0),
sH3N2,10 (11.9),,21 (15.1),,25 (15.5),,7 (16.7),,63 (14.8),
H1N1(2009),3 (3.6),,15 (10.8),,15 (9.3),,9 (21.4),,42 (9.9),
EV,15 (17.9),,5 (3.6),,2 (1.2),,1 (2.4),,23 (5.4),
FluB,4 (4.8),,11 (7.9),,4 (2.5),,0 (0),,19 (4.5),
ADV,2 (2.4),,9 (6.5),,7 (4.3),,0 (0),,18 (4.2),
RhV,3 (3.6),,9 (6.5),,3 (1.9),,2 (4.8),,17 (4.0),
PIV,8 (9.6),,3 (2.1),,2 (1.2),,0 (0),,13 (3.0),
PIV-1,4 (4.8),,0 (0),,0 (0),,0 (0),,4 (0.9),
PIV-2,3 (3.6),,2 (1.4),,2 (1.2),,0 (0),,7 (1.6),
PIV-3,1 (1.2),,1 (0.7),,0 (0),,0 (0),,2 (0.5),
PIV-4,0 (0),,0 (0),,0 (0),,0 (0),,0 (0),
hMPV,4 (4.8),,7 (5.0),,0 (0),,1 (2.4),,12 (2.8),
RSV,6 (7.2),,2 (1.4),,2 (1.2),,1 (2.4),,11 (2.5),
RSV-A,3 (3.6),,1 (0.7),,0 (0),,0 (0),,4 (0.9),
RSV-B,3 (3.6),,1 (0.7),,2 (1.2),,1 (2.4),,7 (1.6),
Cov,0 (0),,1 (0.7),,2 (1.2),,0 (0),,3 (0.7),
CoV-OC43/HKU1,0 (0),,1 (0.7),,2 (1.2),,0 (0),,3 (0.7),
CoV-229E/NL63,0 (0),,0 (0),,0 (0),,0 (0),,0 (0),
BoV,0 (0),,0 (0),,0 (0),,0 (0),,0 (0),
Coinfections,8 (9.5),,6 (4.3),,6 (3.7),,5 (11.9),,25 (5.9),
RhV + sH3N2,3 (3.6),,1 (0.7),,1 (0.6),,2 (4.8),,7 (1.6),
RhV + EV,0 (0),,3 (2.2),,0 (0),,0 (0),,3 (0.7),
RhV + ADV,0 (0),,0 (0),,3 (1.9),,0 (0),,3 (0.7),
RhV + PIV-4,0 (0),,1 (0.7),,2 (1.2),,0 (0),,3 (0.7),
ADV + hMPV,2 (2.4),,0 (0),,0 (0),,0 (0),,2 (0.5),
ADV + RSV-B,2 (2.4),,0 (0),,0 (0),,0 (0),,2 (0.5),
FluB+PIV-3,0 (0),,0 (0),,0 (0),,2 (4.8),,2 (0.5),
sH3N2 + CoV-229E/NL63,1 (1.2),,0 (0),,0 (0),,0 (0),,1 (0.2),
sH3N2 + PIV-4,0 (0),,1 (0.7),,0 (0),,0 (0),,1 (0.2),
sH3N2 + EV,0 (0),,0 (0),,0 (0),,1 (2.4),,1 (0.2),
Total positive cases,63 (75.0),,89 (64.0),,68 (42.2),,26 (61.9),,246 (57.7),
"ARIs, acute respiratory infections",,,,,,,,,,
