0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,1x vaccinationa,,,,,,,,,2x vaccination,,,,,,,,
,10,,,2,,,0.4,,,10,,,2,,,0.4,,,0
Chicken #,D2,D4,D7,D2,D4,D7,D2,D4,D7,D2,D4,D7,D2,D4,D7,D2,D4,D7,D2
1,2b,2,2,+,+,6{,2,2,2,2,2,2,2,2,2,2,2,2,+{
2,2,2,2,2,2,2,+,+,+{,2,2,6,2,2,2,2,+,+{,+{
3,2,2,2,2,2,2,+,2,2,2,2,2,6,2,2,2,2,2,+{
4,2,2,2,+,2,2,+,x{,x{,2,2,2,2,2,2,2,2,2,+{
5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,+{
6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,+{
7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,+,+,2,+{
8,6,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,+{
9,2,2,2,2,6,2,+,+,+{,2,2,2,2,2,2,2,2,2,+{
10,2,2,2,2,2,2,+,x{,x{,2,2,2,2,6,2,2,2,2,+{
