0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Table 1 Measurement statistics of Apodemus,,,,,,,,,,,,,,,,,
,,,SGL,,,NBL,,,,,ZB,,,SBL,,,
,n,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum
"A.
latronum",15,28.03,2.54,20.23,30.86,11.12,0.60,9.70,12.17,13.41,0.67,12.38,14.96,25.21,1.58,22.37,27.52
A. peninsulae,38,27.76,1.60,24.31,31.75,10.64,1.02,8.09,12.42,13.49,0.96,12.01,15.35,25.58,1.87,22.50,29.81
A. chevrieri,8,29.02,0.83,27.83,29.99,10.65,0.74,9.16,11.63,13.63,0.34,13.06,14.02,26.29,1.24,24.47,27.57
A. agrarius,41,26.57,0.97,24.55,28.51,9.55,0.53,8.50,10.67,12.56,0.52,11.23,13.34,24.65,1.20,20.82,26.73
"A.
ilex",10,26.63,1.25,25.31,28.88,10.10,0.79,9.13,11.44,12.61,0.37,12.09,13.31,23.42,1.19,22.17,25.45
A. draco,9,26.80,1.63,23.83,29.19,10.56,1.06,8.65,11.80,12.59,0.52,11.83,13.27,23.64,1.59,20.97,25.41
A. pallipes,12,26.84,0.58,25.76,27.98,10.37,0.37,9.45,10.95,12.73,0.26,12.26,13.13,23.63,0.56,22.37,24.30
A. uralensis,14,24.37,0.89,22.49,25.45,8.72,0.48,7.96,9.74,12.38,0.52,11.68,13.20,22.66,0.96,20.49,23.82
,,,UTRL,,,,UOSL,,,,TBL,,,,ML,,
,n,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum
"A.
latronum",15,14.41,0.76,12.94,15.60,5.00,0.23,4.47,5.39,5.52,0.35,4.90,6.38,10.48,3.58,6.16,14.41
A. peninsulae,38,13.71,0.94,11.52,15.82,4.27,0.29,3.41,5.10,5.34,0.40,4.53,6.17,13.25,1.11,11.02,15.79
A. chevrieri,8,14.55,0.64,13.57,15.52,4.59,0.23,4.24,4.91,5.90,0.25,5.52,6.19,14.61,0.67,13.70,15.74
A. agrarius,41,12.97,0.73,10.99,14.64,4.18,0.27,3.45,4.84,5.22,0.31,4.55,5.69,12.61,0.70,10.28,14.06
"A.
ilex",10,12.74,0.66,11.98,13.95,4.42,0.37,3.97,4.97,5.33,0.25,4.90,5.73,13.21,0.83,11.97,14.97
A. draco,9,13.10,0.72,11.98,14.03,4.24,0.06,4.15,4.35,5.23,0.35,4.50,5.62,13.03,1.09,11.36,14.32
A. pallipes,12,13.25,0.32,12.73,13.83,4.34,0.16,4.14,4.67,4.83,0.13,4.62,5.12,13.51,0.40,12.98,14.10
A. uralensis,14,11.23,0.47,10.51,12.00,3.60,0.25,2.89,3.82,4.68,0.29,4.30,5.23,11.57,0.50,10.50,12.28
,,,HBL,,,TL,,,,HFL,,,,,EL,,
,n,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum
"A.
latronum",15,100.90,9.84,88.00,115.00,104.27,8.41,90.00,122.00,24.17,0.98,22.50,26.00,20.20,0.80,19.00,22.00
A. peninsulae,38,100.32,11.96,73.00,137.00,94.26,10.96,72.00,121.00,22.95,1.59,18.00,25.00,16.08,1.58,14.00,21.00
A. chevrieri,8,102.50,8.78,90.00,113.00,94.12,9.40,82.00,105.00,23.63,1.69,21.00,26.00,16.12,1.89,13.00,18.00
A. agrarius,41,100.17,8.28,85.00,120.00,82.54,11.55,50.00,101.00,19.55,1.86,14.00,24.00,13.39,1.05,12.00,16.00
"A.
ilex",10,86.30,5.83,80.00,98.00,92.80,11.24,72.00,107.00,21.90,1.10,20.00,24.00,17.50,1.43,15.00,19.00
A. draco,9,92.11,9.85,75.00,103.00,105.11,12.08,84.00,119.00,48.89,77.30,21.00,255.00,17.33,0.71,16.00,18.00
A. pallipes,12,93.75,3.93,87.00,99.00,95.67,4.14,90.00,104.00,21.58,0.67,21.00,23.00,16.58,0.52,16.00,17.00
A. uralensis,14,83.86,7.31,67.00,94.00,74.36,4.99,65.00,83.00,19.82,1.14,18.00,22.00,12.11,2.65,9.00,17.00
