0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Table 2.,(Continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Citation,112,113,114,115,1,9,14,15,18,23,26,31,36,38,45,55–,59,60,61,64,68,69,71,74,78,79,83,85,86,89,92,93,97,99,105,116
,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,
,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pain control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Experimental therapies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Supportive treatment only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Travel bans (not helpful),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Screening Travelers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Italy/Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WHO/UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dept of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local Ministries of Health/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dept of Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dept of Defense/USAMRIID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPA/OSHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Red Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HHS/ASPR/BRADA/USPHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Molecular/Cellular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pathogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Virology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Animal Resivour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Historical Perspective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overt inaccuracies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caveated inaccuracies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Error by omission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uncited claim/No evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1371/journal.pone.0179356.t002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
