0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Table 1 The total,,incidence rates of some IIDs in China from 2006-2016 (1/100000),,,,,,,,,,,,,,,,
Region,HFMD,,,OIDD,,,TAP,,,Dysentery,,,Hepatitis A,,,Hepatitis E,,
,Incidence,Max,Min,Incidence,Max,Min,Incidence,Max,Min,Incidence,Max,Min,Incidence,Max,Min,Incidence,Max,Min
Beijing,146.32,258.74,14.36,265.38,409.78,181.98,0.09,0.14,0.03,112.85,235.42,41.43,0.94,2.12,0.41,2.26,4.37,1.13
Tianjin,102.92,229.43,0.32,332.58,614.38,214.92,0.16,0.74,0.03,82.55,150.25,51.79,0.38,0.82,0.09,1.59,3.53,0.65
Hebei,82.26,157.59,1.65,72.93,80.64,66.82,0.37,0.46,0.25,23.58,41.83,11.57,1.15,2.29,0.54,1.26,1.64,1.01
Liaoning,57.18,99.95,0.22,37.18,47.59,16.99,0.48,0.75,0.24,17.33,30.61,9.41,3.63,6.76,1.73,3.27,5.21,2.21
Shanghai,158.74,267.84,16.21,24.48,31.89,16.95,0.25,0.63,0.08,6.50,22.63,0.54,1.18,2.39,0.54,2.57,3.11,1.89
Jiangsu,109.57,210.52,0.38,16.90,20.06,11.85,0.42,0.90,0.20,9.71,21.92,4.06,1.57,3.15,0.70,4.29,5.20,3.45
Zhejiang,178.88,386.57,1.62,204.53,264.02,156.45,1.97,5.11,0.70,14.59,41.01,3.95,1.94,4.69,0.84,3.80,4.81,3.16
Fujian,146.78,295.30,0.67,57.63,84.05,38.94,1.25,1.85,0.86,3.74,7.96,1.28,2.25,3.74,1.18,2.32,3.32,1.42
Shandong,86.84,149.38,3.28,43.23,75.42,25.50,0.11,0.38,0.04,10.80,20.02,4.43,0.59,1.14,0.33,1.27,1.66,0.90
Guangdong,217.89,403.50,0.73,114.78,156.95,91.81,1.59,1.91,1.37,6.14,11.27,2.60,1.58,1.96,1.29,2.51,3.03,1.65
Hainan,339.35,760.68,0.06,40.03,54.58,27.02,0.30,0.39,0.21,9.48,16.91,3.43,2.95,8.15,0.69,1.26,4.60,0.21
East China,147.88,–,–,109.97,–,–,0.64,–,–,27.02,–,–,1.65,–,–,2.40,–,–
Shanxi,63.09,97.74,0.49,39.30,53.48,28.94,1.11,2.31,0.69,16.62,29.68,8.95,2.62,3.39,1.77,1.12,1.96,0.33
Jilin,48.72,105.27,0.34,5.83,12.94,2.49,0.06,0.11,0.03,11.79,19.10,3.00,1.37,3.88,0.60,1.08,1.53,0.79
Heilongjiang,30.09,94.74,1.26,13.34,17.64,8.80,0.08,0.12,0.02,14.14,24.49,6.71,1.02,2.21,0.59,1.23,1.47,0.95
Anhui,126.77,248.41,0.26,92.86,149.08,49.19,0.40,0.62,0.26,18.82,25.16,12.41,1.81,3.24,0.82,2.53,3.59,1.25
Jiangxi,66.78,133.70,0.03,61.58,82.25,42.07,0.84,1.60,0.51,17.58,29.24,8.95,2.53,6.82,0.60,1.20,1.82,0.74
Henan,71.86,137.13,0.20,42.75,64.27,28.54,0.21,0.37,0.13,18.27,25.99,12.69,2.78,7.36,0.24,0.58,0.75,0.33
Hubei,101.12,207.14,0.07,44.02,73.03,20.28,0.64,0.99,0.36,17.83,29.28,7.13,2.57,4.55,1.43,3.40,4.68,2.42
Hunan,152.13,318.05,0.09,34.93,45.57,18.38,1.69,2.33,1.31,12.92,17.81,5.65,1.77,4.24,0.84,1.30,2.02,0.46
Central China,82.57,–,–,41.83,–,–,0.63,–,–,16.00,–,–,2.06,–,–,1.56,–,–
Neimenggu,59.43,133.62,0.53,10.78,17.02,7.25,0.13,0.21,0.08,10.71,18.41,5.73,1.77,4.39,0.79,0.53,0.76,0.31
Guangxi,316.89,709.87,0.10,75.05,177.53,44.46,2.46,3.10,2.07,14.72,33.00,6.71,2.51,4.32,1.18,1.08,1.53,0.79
Chongqing,85.44,216.77,0.00,87.01,121.93,56.09,0.49,0.95,0.25,30.90,41.11,23.86,4.89,10.44,2.91,1.77,3.31,0.48
Sichuan,53.73,117.87,0.41,42.60,58.85,30.53,0.41,1.02,0.24,18.13,39.26,6.98,5.15,9.33,2.43,1.03,1.45,0.52
Guizhou,76.87,162.90,0.00,20.76,26.60,14.51,3.77,9.95,1.50,23.64,50.83,8.05,6.64,17.71,0.78,0.94,1.73,0.20
Yunnan,94.75,181.83,0.02,24.81,40.26,13.06,10.45,18.36,4.84,16.01,28.04,8.91,6.78,16.04,2.10,1.61,3.03,0.73
Xizang,27.58,67.20,0.00,2.86,10.83,1.20,0.13,0.85,0.00,43.95,92.79,20.97,8.31,17.99,2.42,0.10,0.24,0.03
Shaanxi,104.77,186.54,0.10,56.09,71.43,42.46,0.09,0.12,0.07,27.19,47.46,11.73,2.05,4.14,0.78,0.62,0.90,0.38
