0,1,2,3
nsP2 pro,AGA,AGC,AGG
Leupeptin,,,
Wild Type,91.25 ±  2.58,100.2 ±  10.2,106.2 ±  9.7
Cys478Ala,98.86 ±  8.11,102.5 ±  10.7,105.5 ±  7.0
Ser482Ala,96.85 ±  5.39,98.42 ±  16.22,99.97 ±  8.02
Trp549Ala,95.37 ±  11.19,93.77 ±  6.50,92.81 ±  8.45
Trp549Phe,92.70 ±  3.56,91.84 ±  8.04,90.53 ±  3.80
E-64,,,
Wild Type,93.09 ±  2.66,104.1 ±  5.6,108.0 ±  6.0
Cys478Ala,98.73 ±  8.81,104.7 ±  8.3,107.4 ±  1.4
Ser482Ala,109.9 ±  13.9,95.98 ±  5.48,105.2 ±  8.4
Trp549Ala,102.0 ±  8.10,98.57 ±  7.27,95.43 ±  8.44
Trp549Phe,105.1 ±  5.20,96.35 ±  4.93,107.1 ±  6.15
Chymostatin,,,
Wild Type,84.03 ±  7.77,87.43 ±  0.09,90.42 ±  8.16
Cys478Ala,98.57 ±  9.98,67.11 ±  26.39,63.78 ±  30.29
Ser482Ala,123.2 ±  7.1,60.90 ±  17.90,51.57 ±  11.61
Trp549Ala,87.88 ±  2.77,92.60 ±  4.00,105 ±  13.85
Trp549Phe,81.29 ±  3.97,83.72 ±  2.54,80.79 ±  14.51
PMSF,,,
Wild Type,107.7 ±  4.3,93.07 ±  4.26,71.30 ±  6.67
Cys478Ala,113.89 ±  63.3,70.82 ±  14.22,50.87 ±  28.14
Ser482Ala,102.8 ±  8.3,87.56 ±  28.71,88.37 ±  6.57
Trp549Ala,95.24 ±  4.27,100.32 ±  7.86,91.34 ±  8.85
Trp549Phe,100.12 ±  3.61,83.05 ±  7.79,95.13 ±  4.31
