0,1,2,3,4
Table 2 Frequency of viruses in the samples (n ¼ 36),,,,
,Preoperative secretion,Adenoid tissue,Postoperative secretion,Total
Rhinovirus,7 (50%),2 (14.3%),1 (12.5%),10 (27.7%)
Bocavirus,3 (21.4%),4 (28.6%),1 (12.5%),8 (22.2%)
Adenovirus,0 (0%),2 (14.3%),2 (25%),4 (11.1%)
Enterovirus,1 (7.2%),2 (14.3%),0 (0%),3 (8.3%)
Parechovirus,0 (0%),2 (14.3%),1 (12.5%),3 (8.3%)
Coronavirus HKU,1 (7.2%),0 (0%),1 (12.5%),2 (5.6%)
Parainﬂuenza 4,1 (7.2%),1 (7.1%),0 (0%),2 (5.6%)
Inﬂuenza A,1 (7.2%),0 (0%),0 (0%),1 (2.8%)
Coronavirus 43,0 (0%),1 (7.1%),0 (0%),1 (2.8%)
Coronavirus 229,0 (0%),0 (0%),1 (12.5%),1 (2.8%)
Metapneumovirus A/B,0%,0 (0%),1 (12.5%),1 (2.8%)
Total,14 (100%),14 (100%),8 (100%),36 (100%)
