0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,,,,,,,,,,,,,,,,,,,,,Metagenomics of Respiratory Virus Infections,,,,,,,,,
,T65V26,-,-,-,"207
-",-,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,-,-,-,-,-,-
,,-,-,-,"-
-",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
,"T43,
T44",-,-,-,"14,561
-",-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,8,,-,-,-,-,-,288
,T36T38,-,-,-,"-
-",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,8,-,-,-
,,-,-,-,"41
-",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,4,-,11,-,-,-
,"T33,
T39",3,-,-,"1,395
-",-,-,-,3,-,-,-,-,4,-,-,-,-,-,-,-,-,43,,-,-,76,-,-,5
,T69,-,-,2,"-
-",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,,9,-,-,-,-,-
,"P19,
P88",-,-,-,"11,026
-",-,-,-,-,-,11,53,5,-,-,-,-,-,2,-,8,-,21,,274,6,142,-,3,21
,P183,-,-,-,"-
-",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,-,47,-,-,-,-
,"P176,
P186,
P213",-,-,-,"66
-",-,-,"9,891",-,-,-,-,-,3,-,-,2,-,-,-,-,31,568,,20,288,6,-,-,12
,P173,-,38,-,"-
-",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,,-,-,-,-,-,-
,"P151,
P181",-,-,"1,052","54
8",-,-,-,7,17,7,-,118,-,-,-,-,-,-,-,-,-,139,,83,41,6,-,-,10
,"P14,9
P153",-,24,-,"55
-",-,-,"2,672",-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,,51,10,11,-,-,20
,"P147,
P191",-,3,59,"12
46",-,-,-,14,9,5,-,-,-,-,-,-,-,-,-,4,-,327,,21,173,-,-,-,-
,"P131,
V61",-,-,49,"3,995
702",78,8,10,212,"3,408","2,711",-,3,-,-,4,-,-,-,-,-,-,16,,15,-,446,15,-,-
infections.,P108,-,-,-,"-
-",-,12,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,11,,3,-,10,-,-,-
,"P06,
P150",-,-,-,"14
11,233","15,236",-,-,12,22,-,-,-,-,-,-,-,-,-,-,3,-,12,,42,4,26,-,-,-
respiratorytract,M28,-,-,-,"-
2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,51,-,"6,192",4,-,-
,"M23,
M44",-,-,-,"65,889
-",-,-,-,-,-,-,-,6,-,-,-,-,6,-,-,-,-,60,,12,15,22,22,-,36
,"C46,
P54",-,-,-,"44
-",-,-,-,187,100,11,3,-,27,-,-,-,-,-,-,4,-,102,,180,47,172,-,-,-
,"C41,T50",-,-,-,"115,617
-",15,-,-,7,5,12,-,-,-,3,-,-,-,-,-,-,-,46,,3,3,34,-,-,16
,"C29,
M40,
M41,
V39",-,-,-,"3,667
-",-,-,183,-,3,8,-,-,3,-,-,-,-,-,-,-,-,54,,14,4,4,14,3,24
,"C27,
C01",-,-,-,"59
-",-,-,-,9,-,-,-,3,-,-,-,-,-,-,2,12,-,31,,103,4,15,-,-,4
,"Samplesa
C16,
C61",-,-,-,"15
-",-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,16,-,28,,80,-,8,22,9,13
Table5.PathogensidentifiedbyNGSinchildrenwithupper,"C06,
C55,
T78,
V24",-,-,-,"8418b
-",-,-,182,-,-,3,-,-,-,6,-,-,12,-,-,-,-,10,,13,15,235,8,-,9
,"Pathogendetected
VIRUSES",Respiratorysyncytialvirus,CoronavirusOC43,RhinovirusA,"RhinovirusB
RhinovirusC",HumanenterovirusA,Humanbocavirus,Saffoldvirus,Torquetenovirus(TTV),Torquetenominivirus(TTMV),Torquetenomidivirus(TTMDV),Humanherpesvirus,Humanpapillomavirus,Rotavirus,Humanastrovirus,Batpicornavirus,Capsicumchlorosisvirus,Cucumbermosaicvirus,Okramosaicvirus,Peppermottlevirus,Tomatomosaicvirus,Whitespotsyndromevirus,Phages,BACTERIA,Streptococcuspneumoniae,Haemophilusinfluenzae,Moraxellacatarrhalis,Legionellapneumophila,"ebsiellapneumoniae
l",Staphylococcusaureus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,
PLOS ONE,| www.plosone.org,,,,,,,,,,,9,,,,,,,November 2014 | Volume 9 |,,,,,,,,Issue 11 | e113570,,,
