0,1,2,3,4,5,6,7,8,9,10
Table 4  Laboratory data,,,,,,,,,,
,Day 1,,Day 3,,Day 7,,Day 10,,Day 14,
,ECMO,Non-ECMO,ECMO,Non-ECMO,ECMO,Non-ECMO,ECMO,Non-ECMO,ECMO,Non-ECMO
"1)
Hemoglobin (g  dL−",10.9 (2.44),10.6 (2.93),10.3 (1.37),10.9 (2.31),9.6 (1.31),9.9 (1.51),9.7 (1.29),8.8 (1.10),9.3 (0.83),9.4 (1.10)
"WBCs 
9 L
 10−",9.9 (4.05),12.5 (7.64),13.9 (7.08),9.6 (5.42),15.5 (9.09),16.7 (14.04),16.0 (7.23),28.3 (19.30),13.3 (10.51),12.6 (1.10)
×,,,,,,,,,,
"Platelets 
9 L
 10−",180 (127.5),210 (124.9),149 (87.32),206 (103.5),144 (113.7),195 (101.5),157 (142.3),197 (80.1),183 (158.9),185 (107.5)
×,,,,,,,,,,
"1)
BUN (mg  dL−",36 (25.6),27 (24.12),42 (29.1),29 (23.32),33 (30.7),35 (27.69),43 (34.3),58 (53.61),13 (7.2),37 (32.35)
"1)
Creatinine (µmol  L−",205 (149.90),201 (166.61),210 (145.69),254 (153.75),140 (88.0),223 (132.83),160 (100.9),295 (182.23),74 (34.40),289 (133.75)*
Arterial blood gases,,,,,,,,,,
pH,7.39 (0.07),7.24 (0.19)*,7.35 (0.11),7.28 (0.13),7.35 (0.06),7.24 (0.15)*,7.34 (0.09),7.27 (0.14),7.29 (0.22),7.32 (0.01)
PaCO2 (mmHg),38.8 (8.88),44.5 (14.71),41.5 (8.94),53.2 (19.21)*,41.7 (5.77),57.8 (20.51)*,44.5(17.91),48.1 (11.81),60.7 (45.08),53.7 (20.93)
"1)
 HCO3 (mEq  L−",23.2 (4.11),21.5 (7.01),23.3 (5.16),23.4 (2.61),24.2 (4.71),22.9 (6.12),22.0 (4.36),22.1 (4.41),23.6 (6.98),26.0 (3.31)
PaO2 (mmHg),83.7 (42.48),92.7 (76.02),71.1 (16.61),58.7 (18.00),81.9 (44.52),66.1 (20.81),92.1 (37.13),79.1 (24.71),78.2 (41.21),61.0 (32.16)
Data are presented as mean (SD),,,,,,,,,,
