0,1,2,3
Table 2.,X-ray diffraction data collection and structure refinement statistics (set 2),,
,,NAC state* (PDB ID code),
,C3S1 (5F8L),C3S4/5 (5F8M),C3S6 (5F8N)
†,,,
Data collection,,,
Space group,P212121,P212121,P212121
Cell dimensions,,,
"a, b, c, Å","62.3, 76.7, 151.2","63.6, 76.7, 150.1","63.7, 77.6, 151.4"
"α, β, γ, °","90, 90, 90","90, 90, 90","90, 90, 90"
"Resolution, Å‡",60.0–2.81 (2.91–2.81),60.0–2.83 (2.93–2.83),60.0–2.47 (2.56–2.47)
Rmerge,0.102 (0.50),0.065 (0.50),0.047 (0.51)
I/σI,18.6 (4.0),18.0 (2.6),23.1 (2.6)
"Completeness, %",99.9 (100.0),95.8 (96.1),95.1 (94.8)
Redundancy,6.4 (6.6),3.7 (3.8),4.1 (3.9)
Refinement,,,
"Resolution, Å",2.81,2.83,2.47
No. reflections,"18,195","17,637","25,817"
"§, %
Rwork/Rfree",20.0/23.8,19.3/23.2,19.4/23.5
No. atoms,,,
Protein/RNA,"3,677/468","3,681/465","3,677/360"
Ligand/ion/water,–/1/96,20/3/78,20/1/138
B-factors,,,
Protein/RNA,50.4/73.5,61.6/79.4,60.2/70.4
Ligand/ion/water,–/46.9/45.2,56.3/49.2/49.8,54.5/42.2/58.5
RMSD,,,
"Bond lengths, Å",0.009,0.009,0.008
"Bond angles, °",1.16,1.20,1.13
Ramachandran statistics¶,91.4/8.3/0.0/0.2,91.7/7.8/0.2/0.2,91.7/7.8/0.2/0.2
