0,1,2,3,4,5,6,7
,,,(b),,,,
,,,Example of the Taxonomic Assignation of Viral Reads,,,,
Wild,,,,,,,
,Type Study,,,Plant/Fungal,,Insect-Specific,Ref.
Animals,,Animal Viruses,,,Phages,,
,,,,Viruses,,Viruses,
,,,,,,"Dicistroviridae,",
,,"Parvoviridae, Circoviridae,",,"Luteoviridae,",,"Iflaviridae,",
,DNA/RNA,"Picornaviridae, Adenoviridae,",,"Secoviridae,","Microviridae,","Tetraviridae,",
,,,,,,,[76]
,virome (feces),"Poxviridae, Astroviridae,",,"Tymoviridae,",Siphoviridae,"Nodaviridae,",
,,Coronaviridae,,Partitiviridae,,Parvoviridae,
,,,,,,(Densovirinae),
,DNA/RNA,,,,,,
,"virome (feces,",,,,,"Iflaviridae,",
,,"Coronaviridae, Herpesviridae",,Tymoviridae,Podoviridae,,[77]
,"urine, throat",,,,,Dicistroviridae,
,"swabs, tissue)",,,,,,
