0,1,2,3,4,5,6,7,8,9
Table  III.  Relative  expression  of  total  RNA  for  IL-8. A  total  of  89  tissue,,,,,,Table IV. Relative expression of total RNA for Gro-alpha. A total of 89 tissue,,,
samples were analysed.,,,,,samples were analysed.,,,,
,Tonsillar,Adenoids,Chronic,Acute,,Tonsillar,Adenoids,Chronic,Acute
,hyperplasia,(n = 25),tonsillitis,tonsillitis,,hyperplasia,(n = 25),tonsillitis,tonsillitis
,(n = 21),,(n = 16),(n = 27),,(n = 21),,(n = 16),(n = 27)
Minimum,0.13,0.27,0.61,0.52,Minimum,0.00,0.00,0.00,0.00
1. Quartile,0.78,0.98,1.20,1.17,1. Quartile,0.43,0.59,0.40,0.30
Median,1.12,1.97,1.82,1.41,Median,0.84,1.07,0.60,0.55
3. Quartile,1.24,2.50,2.06,2.14,3. Quartile,1.43,1.90,0.91,1.12
Maximum,2.55,4.98,2.90,2.86,Maximum,2.44,3.33,1.28,2.97
