0,1,2,3,4,5,6,7,8,9,10,11
,,,Number of positives/number,,,,,Number of positives/number of tested samples,,,
,,,,of tested individuals,,,,,,,
Virus,Positive species,MT,NK,KT,Total,Feces,Lung,Liver,Kidney,Spleen,Urine
Astrovirus,C. gambianus,–,1/1,–,1/1,1/1,–,–,–,–,–
,M. natalensis,–,4/7,0/10,4/17,4/17,–,–,–,–,–
,R. rattus,0/1,0/2,2/7,2/10,2/10,–,–,–,–,–
Paramyxovirus,L. aquilus,–,–,2/6,2/6,0/5,–,–,1/6,–,1/3
,M. natalensis,–,0/37,1/14,1/51,0/17,–,–,1/50,–,0/1
,M. minutoides,–,1/10,0/2,1/12,0/3,–,–,1/11,–,–
,M. triton,–,2/5,1/4,3/9,0/1,–,–,3/9,–,–
Hepevirus,C. olivieri,–,0/3,1/2,1/5,–,–,1/5,–,–,–
,R. rattus,0/2,0/3,1/10,1/15,–,–,1/15,–,–,–
Arenavirus,G. macmillani,–,–,1/2,1/2,–,1/2,1/2,1/2,1/2,–
