0,1,2,3,4,5,6,7,8
Advances in Virology,,,,,,,,5
,Table 3: Demographic data of patients with upper respiratory tract infection by pathogen.,,,,,,,
,,,,Age (years),,,,Gender
Infecting viruses,Number of patients,,,Number (%),,,,Number (%)
,,<15,15–24,25–34,35–44,>45,Male,Female
Total number,75,26 (34.7),16 (21.3),15 (20.0),13 (17.3),5 (6.7),54 (72.0),21 (28.0)
hRV,29,5 (19.2),6 (37.5),9 (60.0),5 (38.5),4 (80.0),24 (82.8),5 (17.2)
hCoV-OC43,9,3 (11.5),1 (6.3),1 (6.66),4 (30.8),0,7 (77.8),2 (22.2)
hCoV-HKU1,2,1 (3.8),0,0,0,1 (20.0),0,2 (100)
hCoV-NL63,1,1 (3.8),0,0,0,0,1 (100),0
hRSV-A,1,0,1 (6.3),0,0,0,1 (100),0
hRSV-B,7,5 (19.2),2 (12.5),0,0,0,4 (57.1),3 (42.9)
FluA,7,2 (7.7),1 (6.3),2 (13.33),2 (15.4),0,5 (71.4),2 (28.6)
FluB,2,1 (3.8),0,1 (6.66),0,0,1 (50),1 (50)
EV,2,2 (7.7),0,0,0,0,1 (50),1 (50)
hAdv,1,0,1 (6.3),0,0,0,1 (100),0
hMPVA,1,0,0,1 (6.66),0,0,1 (100),0
hRV + FluA,1,0,1 (6.3),0,0,0,1 (100),0
hAdv + hRV,4,2 (7.7),1 (6.3),1 (6.66),0,0,2 (50),2 (50)
hCoV-OC43 + FluA,3,1 (3.8),1 (6.3),0,1 (7.7),0,3 (100),0
hRV + hRSV-A,1,1 (3.8),0,0,0,0,1 (100),0
hRSV-A + hRSV-B,1,1 (3.8),0,0,0,0,0,1 (100)
hCoV-OC43 + hRSV-B,1,0,1 (6.3),0,0,0,1 (100),0
FluA + EV,1,1 (3.8),0,0,0,0,0,1
hCoV-OC43 + hRV,1,0,0,0,1 (7.7),0,0,1
