0,1,2,3
Table 2 Demographic characteristics of patients (n = 200) in the study,,,
Variable,All patients,SA carriers,MRSA carriers
,(200 subjects),(59 subjects),(27 subjects)
Age,,,
18-29,54 (27%),16 (27%),7 (26%)
30-39,43 (21.5%),15 (25.5%),4 (15%)
40-49,55 (27.5%),13 (22%),9 (33%)
50-59,39 (19.5%),13 (22%),7 (26%)
60 and up,9 (4.5%),2 (3.5),0 (0%)
Sex,,,
Male,108 (54%),26 (44%),15 (55%)
Female,92 (46%),33 (56%),12 (45%)
Race,,,
White/Hispanic,38 (19%),14 (24%),4 (15%)
Black,159 (79.5%),45 (76%),23 (85%)
"Asian, Pacific Islander",2 (1%),0,0
American Indian Alaskan Native,0,0,0
Other,1 (0.5%),0,0
Hispanic/Spanish origin,,,
Yes,3 (1.5%),1 (2%),0
No,195 (97.5%),58 (98%),27 (100%)
Unknown,2 (1%),0,0
Primary complaint,,,
Respiratory,26 (13%),6 (10.5%),3 (11%)
GI,22 (11%),7 (12%),3 (11%)
Dermatology,5 (2.5%),2 (3%),1 (4%)
Localized pain/weakness,87 (43.5%),20 (35.5%),11 (41%)
UGI,7 (3.5%),3 (4.5%),1 (4%)
Injury,14 (7%),4 (6%),2 (7.5%)
Cardiovascular,19 (9.5%),8 (13.5%),3 (11%)
Other,18 (9%),9 (15%),3 (11%)
General pain/weakness,2 (1%),0,0
Antibiotic prescribed,,,
Yes,39 (19%),8 (14%),5 (18.5%)
No,161 (79.5%),49 (86%),22 (71.5%)
Admission to hospital,,,
Yes,29 (14.5%),13 (22%),7 (26%)
No,171 (75.5%),46 (78%),20 (74%)
