0,1,2,3,4,5,6
,,,Patients transferred,,Patients transferred,
,All patients,,,,,
,,,with ECMO,,without ECMO,
,mean ± SD (range),,mean ± SD (range),,mean ± SD (range),
Age (years),"41,12 ± 18,11",(2-70),"40,10 ± 18,31",(2-66),"43,38 ± 18,17",(15-70)
Distance (Km),"121,69 ± 183,08",(9-1044),"131,86 ± 204,82",(9-1044),"99,00 ± 125,79",(19-454)
Global time (min),"518,13 ± 176,12",(285-960),"557,68 ± 168,05",(330-960),"425,83 ± 165,47",(285-840)
ICU LOS (days),"26,75 ± 28,51",(2-126),"26,90 ± 26,56",(2-122),"26,36 ± 34,56",(6-126)
alive/died,33/9 (79% - 21%),,20/9 (69% - 31%),,13/0 (100% - 0%),
ECMO,,,,,,
Blood Flow ( lt/min),,,"2,96 ± 0,93","(0,6-4,3)",,
Gas Flow (lt/min),,,"3,27 ± 1,47",(1-6),,
ECMO days,,,"18,21 ± 22,96",(2-116),,
ABG - Baseline - ECMO team arrival,,,,,,
"baseline 
pO","64,96 ± 18,15",(27-112),"61,45 ± 15,61",(27-92),"91,26 ± 29,85",(40-112)
2,,,,,,
"baseline 
pCO","70,71 ± 22,06",(35-115),"70,65 ± 23,26",(35-115),"60,53 ± 20,07",(50-90)
2,,,,,,
pH baseline,"7,27 ± 0,18","(6,80-7,53)","7,28 ± 0,19","(6,80-7,53)","7,25 ± 0,15","(7,09-7,38)"
,ABG - After ECMO (30 min) - before transport,,,,,
"after ECMO 
pO",,,"85,82 ± 16,30",(60-105) #,,
2,,,,,,
"after ECMO
pCO",,,"49,25 ± 7,98",(36-60) §,,
2,,,,,,
pH after ECMO,,,"7,38 ± 0,05","(7,30-7,44)§",,
ABG - After transport - SGH ICU admission,,,,,,
"after transport
pO","106,13 ± 44,83*",(54-273),"92,67 ± 25,96",(54-154)$,"129,92 ± 60,54*",(63-273)
2,,,,,,
"after transport
pCO","47,58 ± 9,06*",(30-65),"48,11 ± 7,79",(32-60)$,"46,65 ± 11,27*",(30-65)
2,,,,,,
pH after transport,"7,38 ± 0,06§","(7,28-7,48)","7,38 ± 0,06","(7,28-7,48)$","7,37 ± 0,05*","(7,32-7,46)"
Heart rate,"99,81 ± 27,95",(60-166),"101,08 ± 26,47",(66-150),"97,46 ± 31,48",(60-166)
sABP (mmHg),"109,57 ± 17,31",(65-143),"112,58 ± 16,11",(90-143),"104,00 ± 18,69",(65-130)
dABP (mmHg),"70,62 ± 14,78",(40-100),"73,42 ± 14,92",(45-100),"65,46 ± 13,59",(40-90)
mABP,"73,65 ± 30,50",(58-114),"71,56 ± 35,82",(60-114),"78,31 ± 12,26",(58-100)
SpO,"96,86 ± 2,73",(88-100),"96,67 ± 2,81",(88-100),"97,23 ± 2,65",(90-100)
2,,,,,,
Ventilation (SGH ICU admission),,,,,,
Respiratory rate,"16,08 ± 7,89",(6-32),"11,33 ± 3,67",(6-22),"24,85 ± 5,71",(10-32)
Tidal volume (ml),"330,97 ± 118,96",(35-510),"290,25 ± 122,96",(35-500),"406,15 ± 63,52",(273-510)
FiO,"90,81 ± 12,72",(50-100),"92,92 ± 12,59",(50-100),"86,92 ± 12,51",(60-100)
2,,,,,,
"O)
PEEP (cmH","16,50 ± 3,84",(10-25),"16,74 ± 3,80",(10-25),"16,08 ± 4,01",(10-22)
2,,,,,,
ICU Ventilation days,,,"24,29 ± 25,85",(3-122),"22,00 ± 30,91",(4-120)
