0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,Period 1,,,,,Period 2,,,,,,,Period 3,,,
Infectious disease,,,,,,,,,,,,,,,,,,
,,,(2003–2008),,,,,(2009–2012),,,,,,,(2013–2017),,,
,Number,D1X,D3,D6,Number,D1X,Diffa,D3,Diffa,D6,Diffa,Number,D1X,Diffa,D3,Diffa,D6,Diffa
Malaria,"1,487",4,4c,1,937,5,1,1,−3a,0,−1a,"1,222",5,1,0,−4a,0,−1a
Meningococcal disease,"1,212",2,0b,0,505,3,1,0,0,0,0,611,4,2a,0,0,0,0
Measles,134,6,0b,0,95,9,3a,0,0,0,0,"2,838",6,0,0,0,0,0
CA-MRSA infection,NR,NA,NA,NA,42,33.5,NA,4,NA,1,NA,37,13,NA,6,NA,1,NA
Psittacosis,305,31,2c,1,269,29,−2,1,−1a,0,−1a,247,11,−20a,0,−2a,0,−1a
Paratyphoid A/B/C,187,13,1b,0,156,18,5,0,−1,0,0,172,22,9a,0,−1,0,0
Pertussis,"37,524",36,2b,1,"31,455",35,−1,1,−1a,0,−1a,"29,362",33,−3a,0,−2a,0,−1a
Q fever,"1,208",31,2c,1,"3,005",22,−9a,2,0,0,−1a,106,25,−6,0,−2a,0,−1
Rubella,421,13,1c,0,11,10,−3,0,−1,0,0,61,"6,5",−6.5a,0,−1,1,0
Shigellosis,"2,053",11,2b,0,"2,279",13,2a,1,−1,0,0,"2,123",14,3a,0,−2,0,0
Tetanus,NR,NA,NA,NA,10,2,NA,1,NA,0,NA,4,11,NA,,NA,0,NA
Typhoid fever,160,12,1b,0,87,13,1,0,−1,0,0,97,12,0,0,−1,0,0
Food-borne infections,521,8,1b,1,174,NA,NA,NA,NA,1,0,150,NA,NA,NA,NA,1,0
STEC infection,435,8,1b,0,"2,196",12,4a,1,0,0,0,"3,321",12,4a,"0,5",−0.5,0,0
Total: median delay of,,,,,,27,,,,,,,23,,0,,0,
,,29,2,,,,,,,0,,,,,,,,
all cases per period (n,"(50,541)",,,"1 (50,437)","(47,163)",,NC,"1 (44,448)",NC,,NC,"(46,362)",,NC,,NC,,NC
,,"(44,535)","(50,395)",,,,,,,"(47,011)",,,,,,,,
cases),,,,,,"(35,294)",,,,,,,"(32,193)",,"(40,262)",,"(46,312)",
Average of median,,,,,,,,,,,,,,,,,,
delays of infectious,(19),14.6,"1.4d,e",0.5,(28),14.7,NC,0.7,NC,0.1,NC,(28),13.2,NC,0.4,NC,0.1,NC
diseases (n diseases),,,,,,,,,,,,,,,,,,
