0,1,2,3,4
"Table 1. Research effort * on bats and bat-associated viruses, including coronavirus, in the 20 countries",,,,
of Western Asia.,,,,
,,,Research Effort by Search Terms *,
,Country Code,,,
Country,,,,
,(ISO3) in Figure 2,,,
,,Bats,Bats and Viruses,Bats and Coronaviruses
Afghanistan,AFG,1,0,0
Armenia,ARM,22,0,0
Azerbaijan,AZE,2,0,0
Bahrain,BHR,1,1,0
Georgia,GEO,9,1,0
Iran,IRN,76,4,0
Iraq,IRQ,8,2,0
Israel,ISR,533,9,0
Jordan,JOR,44,21,9
Kuwait,KWT,4,1,1
Lebanon,LBN,37,4,2
Oman,OMN,10,3,3
Pakistan,PAK,37,4,1
Palestine,PSE,1,0,0
Qatar,QAT,11,4,4
Saudi Arabia,SAU,67,29,32
Syria,SYR,3,1,0
Turkey,TUR,110,7,2
United Arab Emirates,ARE,13,5,3
Yemen,YEM,5,0,0
,* Research effort based on the number of publications indexed in PubMed that included the speciﬁc search terms,,,
