0,1,2,3,4,5,6,7,8,9,10,11,12
,,Range in Mean,,,,P value for difference in variance in observed fail rates across 75 trials. Results of both Brown Forsythe (median,,,,,,
,,Fail Rate in,,Std.,,based) variance tests reported for the 1% and 5% true fail rate simulated lots. Results for both the Levene,,,,,,
,,,Samples,Deviation,,,,(mean,,,,
,Mean,,,of,,,based) and Brown Forsythe tests are reported for 15% true fail rate lot.,,,,,
Number,(Median),,,Fail,,,,,,,,
of PPE,Fail Rate,,,Rates,5 PPE,10 PPE,12 PPE,18 PPE,24 PPE,32 PPE,40 PPE,50 PPE
Items,Across 75,,,Across 75,items,items,items,items,items,items,items,items
Sampled,Trials,Min,Max,Trials,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
5,1.87%(0.0%),0%,20.0%,5.86%,—,—,—,—,—,—,—,—
10,1.07%(0.0%),0%,10.0%,3.11%,0.30,—,—,—,—,—,—,—
12,0.89%(0.0%),0%,8.30%,2.59%,0.19,0.70,—,—,—,—,—,—
18,1.19%(0.0%),0%,11.1%,2.63%,0.36,0.80,0.48,—,—,—,—,—
24,1.00%(0.0%),0%,12.5%,2.15%,0.23,0.88,0.78,0.64,—,—,—,—
32,0.96%(0.0%),0%,6.0%,1.57%,0.20,0.79,0.84,0.53,0.90,—,—,—
40,0.95%(0.0%),0%,5.0%,1.58%,0.19,0.77,0.87,0.50,0.86,0.96,—,—
50,0.83%(0.0%),0%,4.0%,1.10%,0.13,0.53,0.85,0.28,0.54,0.55,0.59,—
100,0.99%(1.0%),0%,5.0%,1.06%,0.12,0.45,0.74,0.21,0.42,0.39,0.43,0.79
5,6.67%(0.0%),0%,40.0%,10.57%,—,—,—,—,—,—,—,—
10,5.33%(0.0%),0%,20.0%,6.44%,0.35,—,—,—,—,—,—,—
12,6.11%(8.3%),0%,25.0%,7.03%,0.61,0.46,—,—,—,—,—,—
18,5.41%(5.6%),0%,22.0%,5.55%,0.05,0.17,0.01,—,—,—,—,—
24,6.22%(4.2%),0%,16.7%,4.86%,0.04,0.10,0.00,0.73,—,—,—,—
32,4.73%(3.0%),0%,19.0%,4.54%,0.01,0. 01,0 .00,0 .07,0 .1 2,—,—,—
40,4.80%(5.0%),0%,15.0%,3.23%,0.01,0.01,0.00,0.01,0.01,0.46,—,—
50,4.69%(4.0%),0%,12.0%,2.99%,0.01,0. 00,0 .00,0 .00,0 .01,0 .21,0.41,—
100,4.87%(5.0%),1%,11.0%,2.13%,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
5,15.20%(20%),0%,60.0%,17.35%,—,—,—,—,—,—,—,—
10,15.07%(10%),0%,50.0%,12.56%,"0.00, 0.00",—,—,—,—,—,—,—
12,14.78%(17%),0%,41.7%,11.18%,"0.00, 0.00","0.19, 0.42",—,—,—,—,—,—
18,14.44%(11%),0%,33.3%,8.22%,"0.00, 0.00","0.00, 0.01","0.01, 0.02",—,—,—,—,—
