0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,RT-PCR Enzyme from a Viral Metagenome,
,Table 2. RT-PCR conditions.,,,,,,,,,
,Reverse,,Denature,PCR,PCR,,PCR,,,
,,,,,,,,,,Run
,Transcription,,at 946C,Denature at 946C,Anneal,,Extension,,,
Kit,,,,,,,,,Finishing,Timea
,Temp.,Time,Time,Time,Temp.,Time,Temp.,Time,,
PyroScript,None,NA,2 min,15 sec,NA,,72uC,30 sec,NA,58 min
Quanta,50uC,5 min,2 min,15 sec,NA,,72uC,30 sec,NA,63 min
Transcriptor,50uC,30 min,7 min,10 sec,NA,,68uC,30 sec,68uC 7 min,100 min
Superscript,55uC,30 min,2 min,15 sec,66uC,30 sec,68uC,30 sec,68uC 5 min,119 min
aNot,including thermal melt. NA is not applicable.,,,,,,,,,
,doi:10.1371/journal.pone.0038371.t002,,,,,,,,,
