0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,Etiology of,,Influenza-Like Illnesses in Madagascar,,
Table 1. Demography and clinical characteristics of,,,,,,Table 2. Distribution of viruses related to infections in,,,,,
,outpatients presenting ILI,,relating to infections in,,"Antananarivo,",,from July 2008 to June 2009.,,,,
"Antananarivo,",,from July 2008 to June 2009.,,,,,,,,,
,,,,,,,,Single infection,,,
Characteristics,ILI (%),Infected (%),,,Virus,"Total
(%)",,(%),,Co-infection (%),
,,,Single,,,",5 yr",. = 5 yr,",5 yr",. = 5 yr,",5 yr",. = 5 yr
,Total,Total,infection,Co-infection,,,,,,,
,,,,,,N = 177,N = 134,N = 82,N = 84,N = 95,N = 50
,N = 313,N = 235,N = 166,N = 69,,,,,,,
,,,,,FLUAV,40 (22.6),45 (33.6),21 (25.6),29 (34.5),19 (20.0),16 (32.0)
Sex,,,,,HRV,38 (21.5),39 (29.1),12 (14.6),25 (29.8),26 (27.4),14 (28.0)
Male,138 (44.1),104 (44.3),75 (45.2),29 (42.0),RSV,54 (30.5),12 (8.9),35 (42.7),7 (8.3),19 (20.0),5 (10.0)
Female,175 (55.9),131 (55.7),91 (54.8),40 (58.0),HAdV,13 (7.3),6 (4.5),8 (9.8),4 (4.8),5 (5.3),2 (4.0)
Age group (years),,,,,,HCoV-OC43 7 (3.9),12 (8.9),1 (1.2),6 (7.1),6 (6.3),6 (12.0)
0–4,154 (49.2),127 (54.0),82 (49.4),45 (65.2),FLUBV,5 (2.8),7 (5.2),1 (1.2),6 (7.1),4 (4.2),1 (2.0)
5–9,41 (13.1),30 (12.8),23 (13.9),7 (10.2),HPIV-3,5 (2.8),4 (3.0),1 (1.2),3 (3.6),4 (4.2),1 (2.0)
10–14,25 (8.0),16 (6.8),12 (7.2),4 (5.8),HPIV-1,5 (2.8),2 (1.5),0 (0.0),1 (1.2),5 (5.3),1 (2.0)
15–19,17 (5.4),9 (3.8),5 (3.0),4 (5.8),HCoV-229E,3 (1.7),2 (1.5),1 (1.2),0 (0.0),2 (2.1),2 (4.0)
. = 20,76 (24.3),53 (22.6),44 (26.5),9 (13.0),HMPV,3 (1.7),1 (0.7),1 (1.2),0 (0.0),2 (2.1),1 (2.0)
Clinical symptomsa,,,,,HCoV-NL63,1 (0.6),3 (2.2),0 (0.0),2 (2.4),1 (1.1),1 (2.0)
Sore throat,294 (93.9),"220 (93,6)","155 (93,4)","65 (94,2)",,HCoV-HKU1 1 (0.6),1 (0.7),0 (0.0),1 (1.2),1 (1.1),0 (0.0)
Rhinorrhea,191 (61.0),"150 (63,8)","98 (59,0)","52 (75,4)",HBoV,2 (1.1),0 (0.0),1 (1.2),0 (0.0),1 (1.1),0 (0.0)
Headache,124 (39.6),"93 (39,6)","64 (38,6)","29 (42,0)",HPIV-2,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0)
Muscular pain,55 (17.6),"79 (33,6)","67 (40,4)","12 (17,4)",,,,,,,
,,,,,,N = total number of virus detected.,,,,,
N = total number of patient.,,,,,,doi:10.1371/journal.pone.0017579.t002,,,,,
aall patient had fever and cough at presentation as inclusion criteria.,,,,,,,,,,,
