0,1,2,3,4,5,6,7,8,9,10,11
Table 2. Relative abundance of,,,individual phyla is depicted per season.,,,,,,,,
,,Fall/Winter,,,,,Spring,,,,MWU
,Mean,SD,Min,Max,absolute,Mean,SD,Min,Max,absolute,
Phyla,(%),(%),(%),(%),nr,(%),(%),(%),(%),nr,p-value
Proteobacteria,75.39,23.81,1.91,98.41,50,51.13,23.77,8.09,98.89,46,",0.001"
Firmicutes,17.22,16.58,0.30,67.64,50,24.76,25.22,0.78,91.18,46,0.097
Bacteroidetes,3.39,8.99,0.00,43.45,27,19.31,16.62,0.00,55.42,42,",0.001"
Actinobacteria,1.88,3.36,0.05,22.69,49,3.67,5.91,0.02,29.40,42,NS
Fusobacteria,1.75,8.14,0.00,48.00,7,0.98,6.62,0.00,44.88,1,NS
Cyanobacteria,0.27,0.44,0.00,2.54,32,0.09,0.13,0.00,0.74,14,0.029
OD1,0.067,0.086,0.000,0.38,12,0.046,0.054,0.000,0.19,9,NS
TM7,0.045,0.305,0.000,2.15,1,0.023,0.151,0.000,1.02,1,NS
Deinococcus-Thermus,0.015,0.030,0.000,0.14,3,0.008,0.014,0.000,0.06,0,NS
Nitrospira,0.005,0.012,0.000,0.05,0,0.001,0.005,0.000,0.02,0,0.103
Planctomycetes,0.001,0.008,0.000,0.06,0,0.002,0.013,0.000,0.08,0,NS
Chloroflexi,0.001,0.005,0.000,0.03,0,0.001,0.005,0.000,0.04,0,NS
BRC1,0.000,0.000,0.000,0.00,0,0.001,0.009,0.000,0.06,0,NS
