0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Table 1: Clinical manifestations of patients with mixed and single viral detection for twelve respiratory viruses.,,,,,,,,,,,,
,,,,,,,,,,,,,,,Total
,,URTI,,Bronchitis,,Bronchiolitis,,,Pneumonia,,,LRTI,,Total,∗∗
,,,,,,,,,,,,,,,(%)
Viruses,,,,,,,,,,,,,,,
,Mixed,Single,Mixed,Single,Mixed,,Single,Mixed,,Single,Mixed,Single,Mixed,Single,Viral
,detection,detection,detection,detection,detection,,detection,detection,,detection,detection,detection,detection,detection,detection
WUV,2,0,0,3,2,,3,2,,1,4,7,6 (1.7),7 (2),13 (3.7)
KIV,1,1,1,1,1,,0,1,,0,3,1,4 (1.1),2 (0.6),6 (1.7)
Boca,0,5,2,3,3,,5,1,,0,6,8,6 (1.5),13 (3.7),19 (5.4)
HCoV-OC43,1,9,1,13,4,,3,7,,5,12,21,13 (3.7),30 (8.5),43 (12.3)
HCoV-229E,0,1,0,5,2,,5,1,,0,3,10,3 (0.9),11 (3.1),14 (4)
AdV,2,4,3,6,4,,3,5,,3,12,12,14 (4),16 (4.6),30 (8.5)
FluA,4,5,2,11,3,,8,1,,19,6,38,10 (2.8),43 (12.3),53 (15.1)
RSV,3,9,2,0,3,,19,3,,7,8,26,11 (3.1),35 (10),46 (13.1)
PIV-3,1,2,0,2,1,,2,0,,2,1,6,2 (0.6),8 (2.3),10 (2.8)
HRV,2,5,2,39,8,,45,13,,32,23,116,25 (7.1),121 (33.9),146 (41.6)
PIV-1,0,1,0,1,1,,1,1,,1,2,3,2 (0.6),4 (1.1),6 (1.7)
hMPV,4,5,1,8,0,,3,1,,0,2,11,6 (1.7),16 (4.6),22 (6.3)
†,,,,,,∗,,,∗,,,,,,
Total (%),20 (19.6),47 (15.4),14 (13.7),92 (30.1),32 (31.4),,97 (31.7),36 (35.3),,70 (22.9),82 (80.3),259 (84.6),102 (25),306 (75),408
†,,,,,,,,,,,,,,,
,Number in parentheses represents the number of detection incidences (single or mixed) in relation to number of total (single or mixed) detection incidences in percent.,,,,,,,,,,,,,,
