0,1,2,3,4
Table 6,,,,
,,,,b
Differences between female LEW.1F rats immunized with 150 m,,,"g of CMP when treated with PBS, PBS + antibodies against the a","TCR (R73),"
or PBS + antibodies against CD8 (OX8),,,,
,Incidence,Mean day of onsetA,"Mean maximal scoreA,B",Relative titers
,,,,CMP-specific IgGC
Experiment 1,,,,
Control rats,9/10,27 ± 6,3.5 ± 1.2,0.86 ± 0.06
,,P < 0.05,P < 0.05,P > 0.05
R73-treated ratsD,9/10,57 ± 26,2 ± 0,0.86 ± 0.09
Experiment 2,,,,
Control rats,8/8,30 ± 15,2.9 ± 1.8,0.87 ± 0.12
,,P > 0.05,P > 0.05,P > 0.05
OX 8–treated ratsD,7/8,31 ± 14,2.8 ± 1.7,0.93 ± 0.15
