0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Table 1 Distribution of S. flexneri and S. sonnei serotypes in Beijing between 1994 and 2010 (Continued),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,No.,(%) of isolates,,,,,,,,
Surveillance,,"S.
flexneri",,,"S.
flexneri",,,"S.
flexneri",,,S. flexneri,,"S.
flexneri",,,"S.
flexneri",,,S. sonnei
time,,serotype 4b,,,serotype 4c,,,serotype 5,,,serotype 6,,serotype x,,,serotype y,,,
1994,3,,(0.49),2,,(0.33),1,,(0.16),2,(0.33),0,,(0.00),1,,(0.16),225,(36.59)
1995,2,,(0.25),10,,(1.26),0,,(0.00),8,(1.01),5,,(0.63),20,,(2.52),95,(11.98)
1996,2,,(0.17),28,,(2.35),1,,(0.08),3,(0.25),4,,(0.34),21,,(1.76),114,(9.56)
1997,1,,(0.21),6,,(1.26),1,,(0.21),0,(0.00),6,,(1.26),9,,(1.90),79,(16.65)
1998,3,,(0.50),4,,(0.67),0,,(0.00),3,(0.50),8,,(1.33),11,,(1.83),228,(38.00)
1999,2,,(0.42),2,,(0.42),2,,(0.42),24,(5.05),54,,(11.37),23,,(4.84),147,(30.95)
2000,2,,(0.46),3,,(0.69),23,,(5.31),8,(1.85),16,,(3.70),7,,(1.62),208,(48.04)
2001,1,,(0.47),15,,(7.01),0,,(0.00),1,(0.47),4,,(1.87),0,,(0.00),92,(42.99)
2002,3,,(0.76),11,,(2.77),1,,(0.25),1,(0.25),43,,(10.84),8,,(2.02),136,(34.30)
2003,7,,(7.95),9,,(10.23),0,,(0.00),0,(0.00),9,,(10.23),4,,(4.55),13,(14.77)
2004,8,,(3.24),65,,(26.36),1,,(0.41),0,(0.00),17,,(6.89),2,,(0.81),65,(26.36)
2005,3,,(2.03),30,,(20.30),0,,(0.00),3,(2.03),7,,(4.74),1,,(0.68),56,(37.89)
2006,7,,(6.25),0,,(0.00),0,,(0.00),0,(0.00),4,,(3.57),2,,(1.79),69,(61.60)
2007,2,,(2.71),1,,(1.35),0,,(0.00),0,(0.00),1,,(1.35),1,,(1.35),52,(70.36)
2008,1,,(5.81),2,,(11.63),0,,(0.00),0,(0.00),0,,(0.00),0,,(0.00),10,(58.14)
2009,0,,(0.00),0,,(0.00),0,,(0.00),0,(0.00),0,,(0.00),0,,(0.00),30,(96.46)
2010,0,,(0.00),0,,(0.00),0,,(0.00),0,(0.00),0,,(0.00),0,,(0.00),20,(82.30)
Total,47,,(0.79),188,,(3.17),30,,(0.51),53,(0.89),178,,(3.00),110,,(1.85),"1,639",(27.62)
