0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Table 1 Distribution of S. flexneri and S. sonnei serotypes in Beijing between 1994 and 2010,,,,,,,,,,,,,,,,,
,,,,,,,,No.,(%) of isolates,,,,,,,,
Surveillance,,Total,S.,flexneri,,S. flexneri,S.,flexneri,S.,flexneri,,S. flexneri,,S.,flexneri,,S. flexneri
time,,,,serotype 1a,,serotype 1b,,serotype 2a,,serotype 2b,,serotype 3a,,serotype 3b,,,serotype 4a
1994,615,(10.36),113,(18.37),0,(0.00),262,(42.60),3,(0.49),0,(0.00),0,,(0.00),3,(0.49)
1995,793,(13.36),4,(0.50),1,(0.13),632,(79.69),0,(0.00),2,(0.25),0,,(0.00),14,(1.77)
1996,1192,(20.09),5,(0.42),1,(0.08),984,(82.55),0,(0.00),6,(0.50),0,,(0.00),23,(1.93)
1997,474,(7.99),2,(0.42),0,(0.00),365,(77.02),0,(0.00),1,(0.21),0,,(0.00),4,(0.84)
1998,600,(10.11),1,(0.17),2,(0.33,340,(56.67),0,(0.00),0,(0.00),0,,(0.00),0,(0.00)
1999,475,(8.00),6,(1.26),3,(0.63),192,(40.42),3,(0.63),11,(2.32),2,,(0.42),4,(0.84)
2000,433,(7.30),7,(1.62),1,(0.23),132,(30.48),19,(4.39),7,(1.62),0,,(0.00),0,(0.00)
2001,214,(3.61),1,(0.47),1,(0.47),81,(37.85),6,(2.80),0,(0.00),1,,(0.47),11,(5.14)
2002,397,(6.69),8,(2.02),0,(0.00),116,(29.14),57,(14.37),0,(0.00),0,,(0.00),13,(3.28)
2003,88,(1.48),4,(4.55),2,(2.27),13,(14.77),15,(17.05),0,(0.00),0,,(0.00),12,(13.64)
2004,247,(4.16),4,(1.62),1,(0.41),7,(2.68),16,(6.49),3,(1.22),0,,(0.00),58,(23.52)
2005,148,(2.49),3,(2.03),0,(0.00),9,(5.96),11,(7.44),0,(0.00),0,,(0.00),25,(16.91)
2006,112,(1.89),7,(6.25),1,(0.89),11,(9.83),6,(5.36),0,(0.00),0,,(0.00),5,(4.46)
2007,74,(1.25),5,(6.77),0,(0.00),10,(13.40),1,(1.35),0,(0.00),0,,(0.00),1,(1.35)
2008,17,(0.29),1,(5.81),0,(0.00),2,(12.80),1,(5.81),0,(0.00),0,,(0.00),0,(0.00)
2009,31,(0.52),0,(0.00),0,(0.00),1,(3.54),0,(0.00),0,(0.00),0,,(0.00),0,(0.00)
2010,24,(0.40),0,(0.00),1,(4.11),3,(13.59),0,(0.00),0,(0.00),0,,(0.00),0,(0.00)
Total,"5,934",(100),171,(2.88),14,(0.24),"3,160",(53.25),138,(2.33),30,(0.51),3,,(0.05),173,(2.92)
