0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,Table 1.  Characteristics of SARI Patients and Proportion of Positive Respiratory Viruses Among SARI Patients in Yemen 2011-2016.,,,,,,,,,,,,,,,
,SARI,,,,,,,,,,,,,,,
,patients,,Influenza A,,Influenza B,,RSV,,AdV,,hPIV1-3,,hMPV,,Mixed,
Characteristics,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%
Age,,,,,,,,,,,,,,,,
<15,1413,78,49,3,12,1,258,18,98,7,132,9,8,1,112,8
≥15,398,22,18,5,10,3,21,5,11,3,5,1,4,1,6,2
,,,P = .321,,P = .007,,P = .001,,P = .002,,P = .001,,P = .340,,P = .001,
Gender,,,,,,,,,,,,,,,,
Female,916,51,24,3,4,0.4,150,16,70,8,65,7,6,1,74,8
Male,895,49,43,5,18,2,129,14,39,4,72,8,6,1,44,5
,,,P = .013,,P = .002,,P = .247,,P = .003,,P = .445,,P = .967,,P = .006,
Site,,,,,,,,,,,,,,,,
Aden,1084,60,36,3,9,1,176,16,63,6,103,10,2,0,64,6
Sana’a,727,40,31,4,13,2,103,14,46,6,34,5,10,1,54,7
,,,P = .291,,P = .068,,P = .32,,P = .0.65,,P = .001,,P = .002,,P = .190,
Chronic diseases,,,,,,,,,,,,,,,,
Yes,411,23,17,4,9,2,36,14,25,6,25,6,4,1,18,4
No,1400,77,50,4,13,1,223,16,84,6,112,8,8,0.6,100,7
,,,P = .592,,P = .040,,P = .251,,P = .950,,P = .191,,P = .371,,P = .045,
Years,,,,,,,,,,,,,,,,
2011,135,7,8,6,7,5,15,11,9,7,5,4,5,4,13,10
2012,211,12,3,1,5,2,40,19,15,7,3,1,1,0,25,12
2013,671,37,18,3,7,1,166,25,67,10,25,4,4,1,64,10
2014,392,22,23,6,0,0,46,12,18,5,104,30,2,1,16,4
2015a,40,2,4,10,2,5,12,30,0,0,0,0,0,0,0,0
2016b,362,20,11,3,1,0.3,0,0,0,0,0,0,0,0,0,0
,,,P = .004*,,P < .001*,,P < .001,,P < .001*,,P < .001*,,P < .005*,,,P = .0001*
Total,1811,100,67,4,22,1,279,15,109,6,137,8,12,0.6,118,7
