0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"Table 5. Assessed usefulness and credibility of information scores, and differences associated with age (by age group) and educational level (post-secondary versus high",,,,,,,,,,,,,,,,
school or less).,,,,,,,,,,,,,,,,
,SARS,,,,,,,,H1N1*,,,,,,,
,Total,,"Mean score, x",,ANOVA,"Mean score, x",,ANOVA,Total,,"Mean score, x",,ANOVA,"Mean score, x",,ANOVA
,mean,,,,,,,,Mean,,,,,,,
,score,,,,,,,,score,,,,,,,
,,18–,36–,56+,P value,Education,"Education,",P value,,18–,36–,56+,P value,Education,Education,P value
,,35,55,,,high,low,,,35,55,,,high,low,
Usefulness,,,,,,,,,,,,,,,,
Newspaper,3.19,3.11,3.20,3.25,n.s.,3.23,3.12,n.s.,3.04,2.82c,3.01e,3.32,.000,3.15,2.88,.001
Television,3.34,3.36,3.29,3.41,n.s.,3.27,3.43,.021,3.12,2.98d,3.02f,3.28,.006,3.08,3.07,n.s.
Radio,2.66,2.54,2.66,2.83,n.s.,2.70,2.62,n.s.,2.83,2.69d,2.84,2.98,.046,2.90,2.71,.023
Internet,3.15,3.10,3.20,3.13,n.s.,3.31,2.70,.001,3.42,3.41,3.52f,3.17,.048,3.56,3.13,.000
Call Lines,2.92,2.66,2.87,3.48,n.s.,3.17,2.34,.024,3.57,3.51,3.73f,3.11,.013,3.69,3.41,n.s.
Your doctor,3.30,3.56,3.06,3.28,n.s.,3.33,3.25,n.s.,3.83,3.87,3.73,3.96,n.s.,3.97,3.60,.016
Known,3.66,3.59,3.77,3.45,n.s.,3.81,3.39,.012,3.77,3.75,3.84,3.66,n.s.,3.94,3.43,.005
Health,,,,,,,,,,,,,,,,
Professionals,,,,,,,,,,,,,,,,
Unknown,3.21,2.96,3.43,3.12,n.s.,3.40,2.94,.008,3.13,3.15,3.13,3.12,n.s.,3.20,3.02,n.s.
Health,,,,,,,,,,,,,,,,
Professionals,,,,,,,,,,,,,,,,
Friends/,2.38,2.53,2.32,2.23,n.s.,2.39,2.37,n.s.,2.65,2.89c,2.48,2.64,.000,2.60,2.74,n.s.
Relatives,,,,,,,,,,,,,,,,
Social,-,-,-,-,-,-,-,-,2.23,2.33,2.17,2.04,n.s.,2.13,2.37,n.s.
Networking,,,,,,,,,,,,,,,,
Sites,,,,,,,,,,,,,,,,
Credibility,,,,,,,,,,,,,,,,
Newspaper,3.30,3.36,3.26,3.32,n.s.,3.32,3.27,n.s.,3.09,3.05,3.05,3.19,n.s.,3.16,2.98,.026
Television,3.37,3.32,3.33,3.50,n.s.,3.27,3.51,.000,3.10,3.03,3.07,3.21,n.s.,3.12,3.04,n.s.
Radio,3.07,2.98,3.02,3.28,n.s.,2.98,3.14,n.s.,2.91,2.80d,2.90,3.08,.046,2.98,2.80,.034
Internet,3.25,3.21,3.27,3.32,n.s.,3.39,2.87,.004,3.34,3.33,3.42,3.16,n.s.,3.44,3.14,.003
Call Lines,3.29,3.00,3.24,3.90,n.s.,3.58,2.61,.007,3.75,3.67,3.93,3.45,n.s.,3.85,3.61,n.s.
Your doctor,3.78,3.98,3.57,3.80,n.s.,3.80,3.78,n.s.,4.03,4.05,3.96,4.12,n.s.,4.20,3.76,.000
Known,4.03,3.91,4.12,4.03,n.s.,4.19,3.76,.003,3.91,3.89,3.96,3.84,n.s.,4.10,3.55,.000
Health,,,,,,,,,,,,,,,,
Professionals,,,,,,,,,,,,,,,,
Unknown,3.51,3.42,3.58,3.48,n.s.,3.75,3.16,.000,3.26,3.32,3.26,3.21,n.s.,3.39,3.06,.028
Health,,,,,,,,,,,,,,,,
Professionals,,,,,,,,,,,,,,,,
Friends/,2.50,2.53,2.44,2.56,n.s.,2.55,2.44,n.s.,2.61,2.75b,2.50,2.60,.038,2.60,2.63,n.s.
Relatives,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,(Continued)
