0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,"Causes of Diarrheal Deaths in Children ,5",,
,"Table 5. Median age-adjusted proportions of causes of diarrhea, constrained to fit 100%,",,,,,,,,,in 286 inpatients studies of children,,
,",5 years of age published between 1990–2011, by WHO region.",,,,,,,,,,,
,,AFRO (n = 22),,AMRO (n = 53),,EMRO (n = 19),,EURO (n = 50),,SEARO (n = 64),,WPRO (n = 78)
Pathogen,,,,,,,,,,,,
,N,Median,N,Median,N,Median,N,Median,N,Median,N,Median
Viruses,,,,,,,,,,,,
Rotavirus,18,26?8,47,23?4,16,31?3,44,25?9,42,25?5,75,32?6
Calicivirus,1,15?9,6,13?6,1,10?2,11,9?8,6,8?4,11,10?3
Astrovirus,1,6?6,5,3?1,0,–,7,0?9,3,2?1,10,2?8
Adenovirus,1,3?7,4,2?4,0,–,10,2?7,4,5?1,11,3?4
Bacteria,,,,,,,,,,,,
EPEC,1,10?3,6,10?8,2,13?0,0,–,2,8?9,0,–
ETEC,1,5?0,10,7?4,3,5?0,0,–,7,4?3,0,–
Shigella spp,2,4?1,15,5?7,2,11?9,5,0?1,10,3?5,2,0?2
Campylobacter spp,2,2?3,9,6?1,1,7?9,6,2?1,9,3?5,5,1?9
Salmonella spp,2,3?2,12,2?1,2,6?0,6,5?2,8,2?6,4,3?2
Vibrio cholerae O1,2,0?4,4,0?0,1,0?0,0,–,11,4?5,1,0?04
Parasites,,,,,,,,,,,,
Cryptosporidium spp,2,2?5,12,3?1,0,–,1,0?0,9,2?1,1,0?3
Giardia lamblia,1,1?8,10,4?7,0,–,1,0?0,4,5?2,1,0?5
Entamoeba histolytica,1,0?3,8,0?02,0,–,1,0?0,4,1?7,1,0?2
doi:10.1371/journal.pone.0072788.t005,,,,,,,,,,,,
