0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Antibiotic(s),SAU (n = 176),,,SEP (n = 84),,ECO (n = 308),ECL (n = 78),,PAE (n = 232),,KPN (n = 215),,ABA (n = 191),,,γ,
,HAI,CAI,HAI,CAI,HAI,CAI,HAI,CAI,HAI,CAI,HAI,CAI,HAI,CAI,HAIγH,,CAIγC
,(37),(139),(14),(70),(44),(264),(27),(51),(95),(137),(48),(167),(46),(145),,,
Methicillin,89,30,43,27,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,,5
Ampicillin,100,82,86,67,89,80,100,90,n/a,n/a,54,66,n/a,n/a,38,,35
Amoxicillin,89,27,29,6,84,81,100,94,n/a,n/a,90,95,48,50,38,,31
Ceftizoxime,87,28,14,7,32,25,96,86,n/a,n/a,33,26,96,92,24,,16
Cefaclor,87,31,21,10,32,26,89,78,n/a,n/a,33,25,65,57,23,,15
Cefuroxime,89,29,22,4,32,25,74,47,n/a,n/a,29,23,57,41,22,,12
Cefprozil.,87,26,21,4,34,25,78,61,n/a,n/a,33,23,94,86,24,,15
Ceftazidime,92,37,50,13,5,7,59,28,11,14,21,4,30,15,19,,8
Cefotaxime,84,28,21,6,0,7,44,26,41,26,4,5,28,16,15,,8
Ceftriaxone,89,28,21,3,9,8,48,29,40,25,6,5,33,15,18,,8
Imipenem,76,21,21,1,2,0,0,2,2,3,0,1,2,1,8,,2
Meropenem,78,21,14,1,2,0,0,0,2,2,0,1,2,2,8,,2
Ciprofloxacin,87,35,36,30,75,53,63,33,26,13,19,14,26,17,29,,18
Ofloxacin,78,30,36,30,75,55,59,31,17,15,15,14,22,17,27,,18
Levofloxacin,46,7,29,10,68,52,33,20,22,15,10,11,13,12,21,,13
Sparfloxacin,89,39,50,40,75,56,63,33,43,31,25,16,15,14,32,,21
Moxifloxacin,5,2,14,3,64,43,22,18,43,27,4,8,13,15,17,,12
Gatifloxacin,30,1,14,4,36,25,7,6,23,17,6,6,15,14,13,,7
Gentamicin,87,31,36,21,43,38,30,24,37,29,27,16,35,21,25,,16
Mean,77,28,30,15,42,34,54,39,26,18,23,20,35,28,,,
Resistance,,,,,,,,,,,,,,,,,
