0,1,2,3,4,5,6,7,8,9
6,,,,,,,,,Journal of Veterinary Medicine
,,,Table 4: Signs of nausea-related behavior in single- and repeat-dose trials.,,,,,,
,,,,,,Observation of biting or self-licking,,,
Group,,,,,,,,,
,,,,,,Day,,,
"4 C, 4 C",,,,,,,,,
,1,2,3,4,5,6,7,8,"11
12
9
10"
Single dose,,,,,,,,,
,,,,∗,,,,,
0.0,,,,,,,,,
,,,,∗,,,,,
1.3,,1 C,1 C,,,,,,
,,1 D,1 D,,,,,,
,1 D,,,∗,,,,,
3.9,,,,,,,,,
,,1 C,2 C,,,,,,
,,,1 D,,,,,,
,,,,∗,,,,,
6.5,,,,,,,,,
,,,1 C,,,,,,
Repeat doses,,,,2nd dose,,,,3rd dose,
,,,,,,,,,∗
0.0,,,,,,,1 D,,2 D
,,,,2 D,2 D,,2 D,1 D,2 D
,,,,,,,,,∗
1.3,1 D,1 D,1 D,,,2 D,,,"2 D
1 D"
,,,,1 C,1 C,,1 C,1 C,1 C
,,,,,,,,,∗
3.9,1 C,1 C,1 C,,1 C,4 D,,1 D,1 D
,,,,,,,1 D,,2 D
,,,,,,,,,∗
6.5,,,,,1 C,,,,
,,,,,,,1 C,,1 C
Cumulative %,5,8,25,9,16,19,19,9,"6
16
13"
∗,,,,,,,,,
No observation.,,,,,,,,,
