0,1,2,3
Updated from: The use of antiviral drugs for influenza: A foundation document for practitioners (6),,,
Medication,,Treatment (5 days),Chemoprophylaxis (10 days)
Oseltamivir1,,,
,,adults,
,75 mg twice daily,75 mg once daily,
,,Children ≥12 months,
Body weight (kg),Body weight (lbs),,
≤15 kg,≤33 lbs,30 mg twice daily,30 mg once daily
>15 kg to 23 kg,>33 lbs to 51 lbs,45 mg twice daily,45 mg once daily
>23 kg to 40 kg,>51 lbs to 88 lbs,60 mg twice daily,60 mg once daily
>40 kg,>88 lbs,75 mg twice daily,75 mg once daily
,,Children 3 months to <12 months2*,
,,3 mg/kg/dose twice daily,3 mg/kg/dose once per day
,,Children <3 months3*,
,,,Not recommended unless situation judged critical
