0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Table 5. Allometrically scaled peak VO2 (kg-exponent) by sex and age.,,,,,,,,,,,,,,,,,,
Sex,,,,,,Male,,,,,,,,,Female,,,
Age,8,9,10,11,12,13,14,15,16,8,9,10,11,12,13,14,15,16
n,28,51,55,51,40,58,38,48,40,31,45,62,65,42,61,45,53,35
Exponent for body masst,,,0.635,,,,,0.839,,,,,0.678,,,,0.798,
Mean,145.3,146.0,145.4,156.6,77.9,85.3,87.1,92.2,89.4,117.2,119.2,118.1,125.0,81.8,80.6,79.3,81.5,83.0
SD,16.0,19.6,16.9,25.3,15.2,16.4,17.0,17.6,14.1,11.4,14.2,21.2,18.8,13.1,14.9,13.7,16.1,13.0
5th,115.6,114.7,117.3,124.7,52.3,60.6,59.3,64.7,67.3,100.7,97.8,82.5,94.0,64.3,54.5,57.4,58.4,61.4
10th,121.9,122.3,125.4,129.6,57.2,64.0,61.8,70.0,68.4,103.8,101.6,89.1,101.1,66.9,58.1,59.3,60.3,65.4
15th,133.7,124.3,128.5,131.3,60.5,66.5,68.8,76.3,74.2,104.1,104.3,99.5,105.4,69.0,61.6,62.2,62.7,68.4
25th,136.5,133.1,133.6,141.1,66.2,70.4,75.0,80.6,79.7,109.4,108.1,105.1,109.6,72.8,70.7,68.9,69.4,73.4
50th,143.2,146.8,144.6,150.9,76.8,86.9,84.2,89.1,87.5,115.8,117.8,115.8,126.3,78.4,81.3,81.2,79.9,84.0
75th,156.6,159.3,156.9,163.7,91.3,97.5,100.0,104.0,101.3,124.3,127.3,128.2,136.2,89.5,91.0,89.4,93.7,92.0
85th,166.0,168.7,163.1,186.5,95.5,104.9,105.8,110.5,105.7,130.3,135.1,141.5,140.7,96.3,99.1,91.9,102.4,97.3
90th,171.1,171.9,166.7,199.5,97.6,108.0,110.7,116.5,113.0,135.7,138.4,149.1,147.1,103.1,100.8,96.8,105.0,97.9
95th,176.3,179.5,174.4,216.4,99.8,113.7,120.3,128.7,115.1,140.6,145.3,157.6,162.8,109.5,101.8,106.2,110.8,109.8
