0,1,2,3,4,5,6,7,8,9,10,11,12
absolute quantification (by RT-dPCR) were indicated.,,,,,,,,,,,,
Virus,,Sample,,,RT-qPCR (CFX96),,,,RT-dPCR (FLUIDIGM),,,RT-PCR Array
,,,,,,,,,,,,(FLUIDIGM)
,Genome,Type of,Slope,E,R2,Range of,LOD a,LOD a,log10(qPCR)-,Difference,LOD a,log10(qPCR)-
,,sample,,,,detection,,,log10(dPCR),between,,log10(PCR
,,,,,,(Ct value),,,,quantiﬁcation,,array)
,,,,,,,,,,type b,,
Bocavirus,DNA ss,Plasmidic,-3.20 ± 0.20,106%,0.966,16.90–37.36,0.20,0.80,-0.60,0.17,1.00,-0.70
,,DNA,,,,,,,,,,
Parvovirus,DNA ss,Plasmidic,-3.05 ± 0.14,113%,0.980,15.22–36.35,0.10,4.00,-1.60,-0.31,1.00,-1.00
B19,,DNA,,,,,,,,,,
Sapovirus,RNA+ ss,Transcript,-3.55 ± 0.29,91%,0.963,20.21–36.01,1.00E,4.00E,-0.60,0.89,1.00E,-1.00
,,RNA,,,,,+01,+01,,,+02,
Hepatitis E,RNA+ ss,Transcript,-3.49 ± 0.23,93%,0.972,19.91–38.15,1.00E,4.00E,-0.60,1.25,1.00E,-1.00
virus,,RNA,,,,,+01,+01,,,+02,
TBEV,RNA+ ss,Transcript,-3.10 ± 0.21,110%,0.970,21.66–37.54,1.00E,7.90E,-0.90,1.03,1.00E,-3.00
,,RNA,,,,,+01,+01,,,+04,
Aichi virus,RNA+ ss,Transcript,-3.34 ± 0.46,99%,0.933,27.18–36.53,1.00E,7.89E,0.10,1.32,1.00E,-2.00
,,RNA,,,,,+03,+02,,,+05,
229E,RNA+ ss,Transcript,-3.05 ± 0.37,113%,0.934,25.97–36.89,2.00E,3.95E,-1.30,1.64,1.00E,-1.70
,,RNA,,,,,+01,+02,,,+03,
HKU1,RNA+ ss,Transcript,-3.41 ± 0.22,97%,0.982,25.84–36.34,2.00E,7.90E,-0.60,1.57,1.00E,-2.70
,,RNA,,,,,+01,+01,,,+04,
Cosavirus,RNA+ ss,Transcript,-3.16 ± 0.27,107%,0.978,24.26–31.41,1.00E,7.90E,1.10,1.35,1.00E,-1.00
,,RNA,,,,,+03,+01,,,+04,
Norovirus,RNA+ ss,Transcript,-3.37 ± 0.28,98%,0.973,26.97–38.43,1.00E,7.90E,0.10,1.44,1.00E,-1.00
GGI,,RNA,,,,,+02,+01,,,+03,
Norovirus,RNA+ ss,Transcript,-3.53 ± 0.35,92%,0.952,22.7–37.92,2.00E,7.90E,1.40,1.51,1.00E,0.30
GGIV,,RNA,,,,,+03,+01,,,+03,
Norovirus,RNA+ ss,Transcript,-3.44 ± 0.32,95%,0.954,23.01–38.53,1.00E,7.90E,0.10,1.64,1.00E,-1.00
GGII,,RNA,,,,,+02,+01,,,+03,
OC43,RNA+ ss,Transcript,-3.39 ± 0.31,97%,0.952,22.84–37.70,1.00E,3.95E,-1.60,1.67,1.00E,-3.00
,,RNA,,,,,+01,+02,,,+04,
NL63,RNA+ ss,Transcript,-3.31 ± 0.83,100%,0.851,28.59–36.63,2.00E,3.95E,-0.30,1.97,1.00E,-1.70
,,RNA,,,,,+02,+02,,,+04,
Hepatitis A,RNA+ ss,Transcript,-3.27 ± 0.46,102%,0.916,26.03–39.80,1.00E,3.95E,-0.60,2.14,1.00E,-1.00
virus,,RNA,,,,,+02,+02,,,+03,
Adenovirus,DNA ds,Stool,-3.00 ± 0.16,115%,0.986,23.43–35.08,1.00E,7.90E,0.10,1.47,1.00E,0.00
41,,,,,,,+02,+01,,,+02,
Astrovirus,RNA+ ss,Stool,-3.65 ± 0.54,88%,0.943,32.88–42.23,2.00E,7.89E,-1.60,3.40,1.00E,-2.70
,,,,,,,+02,+03,,,+05,
Rotavirus,RNA,Cell,-3.51 ± 0.79,93%,0.812,22.05–36.45,1.00E,7.89E,-0.90,1.56,1.00E,-2.00
Wa,+ ds,production,,,,,+02,+02,,,+04,
MNV-1,RNA+ ss,Cell,-3.01 ± 0.32,115%,0.947,28.33–38.14,1.00E,3.95E,-0.60,1.95,1.00E,-2.00
,,production,,,,,+02,+02,,,+04,
Enterovirus,RNA+ ss,Cell,-3.36 ± 0.59,98%,0.894,25.28–36.79,1.00E,3.95E,0.40,1.97,1.00E,0.00
,,production,,,,,+03,+02,,,+03,
Mengovirus,RNA+ ss,Cell,-3.21 ± 0.20,105%,0.983,26.77–38.00,1.00E,7.89E,-0.90,2.05,1.00E,-2.00
,,production,,,,,+02,+02,,,+04,
