0,1,2,3,4,5,6,7,8,9,10,11,12
,"Yang et al. Journal of Nanobiotechnology 2013, 11:36",,,,,,,,,,,Page 7 of 10
http://www.jnanobiotechnology.com/content/11/1/36,,,,,,,,,,,,
,Table 2 Biodistribution*,,,,,,,,,,,
,,P6c/P6c-BN 50:10,,,P6c-PEG/P6c-BN 50:10,,,P6c-PbK-PEG/P6c-BN 50:10,,,P6c-PbK-PEG/P6c-BN 40:20,
Organ,1 h,4 h,24 h,1 h,4 h,24 h,1 h,4 h,24 h,1 h,4 h,24 h
Blood,0.31(4),0.25(8),0.13(2),0.5(1),0.42(6),0.17(2),0.4(1),0.4(1),0.15(1),0.33(2),0.27(3),0.14(1)
Heart,0.16(4),0.13(2),0.09(4),0.20(4),0.21(4),0.12(4),0.25(6),0.21(4),0.15(3),0.21(3),0.18(3),0.15(5)
Lung,6(1),2.8(7),0.9(4),4.8(3),5(2),1.0(2),2.9(7),1.8(3),0.9(1),6(3),2.5(2),1.01(2)
Spleen,37(10),31(7),19(4),43(11),27(6),18(4),21(3),22(5),9(1),32(6),33(8),20(4)
Kidneys,2.5(2),3.8(9),4.5(1),3.8(3),7.4(9),7(1),3.0(8),4.4(8),3.5(3),3.3(3),4.3(1),5.1(4)
Pancreas,0.4(6),0.3(1),0.05(5),2(2),0.23(1),0.3(1),0.17(5),0.4(3),0.3(2),1(1),1.1(9),0.12(7)
Stomach,0.6(7),0.26(2),0.20(3),0.8(1),0.5(2),0.27(7),0.3(2),0.3(2),0.17(6),0.8(4),0.38(5),0.24(7)
Intestines,0.23(4),0.22(4),0.21(6),0.33(5),0.26(2),0.20(5),0.4(2),0.44(3),0.25(5),0.6(2),0.34(6),0.3(1)
Colon,0.25(9),0.22(5),0.3(1),0.3(1),0.30(7),0.22(5),0.25(6),0.4(2),0.15(4),0.3(1),0.26(3),0.21(2)
Liver,78(7),68(4),40(11),67(6),66(5),49(12),103(34),85(13),38(3),77(9),73(17),49(2)
Muscle,0.19(6),0.12(4),0.16(6),0.6(4),0.3(3),0.2(1),0.4(2),0.3(2),0.2(1),0.9(5),0.6(2),0.09(1)
Bone,2.5(8),1.6(5),1.3(7),3(1),1.8(2),1.6(4),3(2),1.9(5),0.8(2),2(1),2.8(6),1.5(3)
Tu (av),0.12(2),0.13(4),0.13(6),0.2(1),0.2(1),0.2(1),0.16(6),0.18(7),0.09(4),0.2(1),0.13(2),0.11(4)
Bile,6.6(7),3(2),9(7),12(12),8(7),4(2),8(3),12(4),15(10),10(10),12(8),13(11)
Urine,19(10),30(24),21(2),39(8),57(9),14(2),23(20),111(10),17(2),27(4),30(5),9(5)
,*Data represent % injected dose per g tissue of,,,,four differently substituted SAPN at different time points after injection (the error of the last digit in parentheses).,,,,,,,
