0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Table 4. Distribution of major causative agents according to onset age of diarrhea,,,,,,,,,,,,,
Onset age,Rota,Corona,BVDV,Adeno,Parvo,Kobu,Noro,Toro,E. coli,,Salmonella C. difficile,Eimeria,Cryptosporidium,Giardia
< 1 weeks,22,4,3,0,1,0,4,4,10,1,4,0,1,0
(n = 38),38.6%,30.8%,21.4%,0.0%,11.1%,0.0%,50.0%,36.4%,27.8%,100.0%,25.0%,0.0%,8.3%,0.0%
1–2 weeks,17,3,1,0,1,1,2,2,7,0,3,0,1,2
(n = 26),29.8%,23.1%,7.1%,0.0%,11.1%,33.3%,25.0%,18.2%,19.4%,0.0%,18.8%,0.0%,8.3%,8.7%
3–4 weeks,8,1,5,1,4,0,0,0,6,0,5,12,4,5
(n = 30),14.0%,7.7%,35.7%,50.0%,44.4%,0.0%,0.0%,0.0%,16.7%,0.0%,31.3%,23.1%,33.3%,21.7%
5–6 weeks,7,1,2,1,1,0,2,2,5,0,2,19,4,7
(n = 30),12.3%,7.7%,14.3%,50.0%,11.1%,0.0%,25.0%,18.2%,13.9%,0.0%,12.5%,36.5%,33.3%,30.4%
7–8 weeks,3,1,2,0,0,0,0,0,1,0,2,5,2,6
(n = 14),5.3%,7.7%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,2.8%,0.0%,12.5%,9.6%,16.7%,26.1%
9–10 weeks,0,1,0,0,0,2,0,1,4,0,0,7,0,3
(n = 12),0.0%,7.7%,0.0%,0.0%,0.0%,66.7%,0.0%,9.1%,11.1%,0.0%,0.0%,13.5%,0.0%,13.0%
11–12 weeks,0,0,0,0,0,0,0,0,1,0,0,3,0,0
(n = 3),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.8%,0.0%,0.0%,5.8%,0.0%,0.0%
≥ 13 weeks,0,2,1,0,2,0,0,2,2,0,0,6,0,0
(n = 11),0.0%,15.4%,7.1%,0.0%,22.2%,0.0%,0.0%,18.2%,5.6%,0.0%,0.0%,11.5%,0.0%,0.0%
Total,57,13,14,2,9,3,8,11,36,1,16,52,12,23
(n = 164),100.0% 100.0%,,,100.0% 100.0%,100.0%,100.0% 100.0%,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
"Pearson's χ2, p",< 0.001,0.732,0.608,0.834,0.208,0.014,0.444,0.464,0.736,0.852,0.634,< 0.001,0.337,0.002
Linear by linear,< 0.001,0.963,0.887,0.922,0.422,0.261,0.052,0.873,0.519,0.244,0.164,< 0.001,0.920,0.050
association,,,,,,,,,,,,,,
Onset age,,44.0 ± 62.7 30.1 ± 31.6,,,58.4 ± 78.2,,13.4 ± 11.9,48.9 ± 67.8,33.1 ± 45.3,,20.1 ± 15.0 57.0 ± 49.7,,28.3 ± 13.1,38.1 ± 15.0
(mean ± standard,,,,,,,,,,,,,,
"deviation, days)",,,,,,,,,,,,,,
Onset age,,2–180,3–129,,7–210,,3–34,3–180,3–210,,3–55,20–210,7–52,10–70
"(range, days)",,,,,,,,,,,,,,
"Single infection,",3–45,2–180,3–129,,16–210,,3–12,7–180,5–60,,15–55,22–210,7,13–64
onset age,,,,,,,,,,,,,,
