0,1,2,3,4,5,6,7,8
,,,,Outpatients,,,,
,,,No. (%) of,isolations from patients of age:,,,,
,,,,,,,,Male/female
,,,,,,,,ratiob
",6 mo",6 mo–1 yr,1–3 yr,3–6 yr,6–10 yr,.10 yr,Unknown,Total,
13 (3.9),20 (6.0),81 (24.3),94 (28.1),50 (14.9),28 (8.3),48,334,1.2
0,1 (0.6),16 (10.2),42 (26.8),57 (36.3),13 (8.3),28,157,1.4
4 (8.0),1 (2.0),21 (40.3),21 (40.3),3 (6.0),0,0,50,1.6
1,1,7,7,1,0,2,19,0.4
2 (3.6),10 (17.9),30 (53.6),10 (17.9),1 (1.8),0,3,56,1.4
4 (1.9),20 (9.6),77 (37.0),60 (28.8),25 (12.0),3 (1.4),19,208,1.5
2 (8.3),3 (10.7),15 (53.6),4 (14.3),3 (10.7),0,1,28,1
14 (2.0),56 (8.3),322 (47.6),178 (26.3),52 (7.7),15 (2.2),39,676,1.5
2 (0.8),16 (6.6),135 (55.3),45 (18.4),27 (11.7),7 (2.9),12,244,1.1
42 (2.4),128 (7.2),704 (39.7),461 (26.0),219 (12.4),66 (3.7),152 (8.6),"1,772",
