0,1,2,3,4
"Table 1. Examples of ARDS Associated With Pathogens, and Clinical and Hematologic Syndromes.",,,,
,,,Clinical,Hematologic
,Microbic Pathogens,Infectious Diseases,Phenotypes,Phenotypes
Bacteria,"G ((cid:2)) bacteria such as Escherichia coli, E coli O157: H7,",Sepsis/septic shock,,
,Klebsiella pneumoniae,Pneumonia,,
,"G (þ) bacteria such as Streptococcus pneumoniae,",Gastroenteritis,,
,"Staphylococcus aureus, Legionella pneumophila",Glomerulonephritis,,
,,Waterhouse-Friderichsen syndrome,,
,,,Encephalopathy,
Viruses,Hantavirus,Epidemic hemorrhagic fever and viral,,
,,,FHF/ALF,
,,sepsis,,TCIP
,,,ARF/HUS,
,Ebola virus,Ebola viral hemorrhagic fever and,,“DIC”/DIC
,,,AAI/septic,
,,viral sepsis,,DIT
,,,shock,
,Corona viruses,"SARS, MERS and pneumonia and",,EA-VMTD/DIT
,,,Acute,
,,viral sepsis,,MAHA
,,,pancreatitis,
,Dengue virus,Dengue fever and viral sepsis,,TTP-like
,,,Rhabdomyolysis,
,Influenza A (H1N1) virus,Influenza A infection and viral sepsis,,syndrome
,,,MODS,
,HIV,AIDS and viral sepsis,,
,,,SIRS,
Rickettsia,Rickettsia rickettsii,Rocky Mountain spotted fever and,,
,,rickettsial sepsis,,
Fungi,Candida albicans,Candida sepsis,,
Parasites,Plasmodium falciparum,Malarial sepsis,,
