0,1,2
,SARS Group,Non-SARS Group
,n = 95,n = 99
Gestational Age (weeks),32.1 ± 5.1,32.7 ± 5.6
Birth Weight (grams),1885 ± 1145,1980 ± 1138
Male Sex,54 (56.8%),51 (51.5%)
Preterm,58 (61%),49 (49.5%)
PPHN,13 (13.7%),14 (14.1%)
HIE,8 (8.4%),11 (11.1%)
IUGR,5 (5.2%),8 (8%)
ICH,2 (2.1%),3 (3%)
Multiple gestation,7 (7.3%),9 (9.1%)
Neonatal drug withdrawal,2 (2.1%),5 (5%)
Data are expressed as either mean ± SD or number and percentage,,
p > 0.05 between all groups,,
,PPHN = persistent pulmonary hypertension; HIE = hypoxic ischemic encephalopathy; IUGR = inutero growth restriction; ICH = intracranial,
hemorrhage,,
