0,1,2,3,4,5,6
,,,CONTRACEPTIVE AGENTS,,,
BRAND,CYPROTERONE,,,,,
,,,DROSPIRENONE,,,
,ACETATE,DESOGESTREL,,ETHINYLESTRADIOL,LEVONORGESTREL,GESTODENE
,,,(ANTI-ANDROGEN),,,
,(ANTIANDROGEN),,,,,
Diane–35™,2mg,,,35mcg,,
Estelle-35™,2mg,,,35mcg,,
,,25mcg (blue),,40mcg (blue),,
Gracial™,,,,,,
,,125mcg (white),,30mcg (white),,
Gynera™,,,,30mcg,,75mcg
Marvelon™,,150mcg,,30mcg,,
Meliane™,,,,20mcg,,75mcg
Mercilon™,,150mcg,,20mcg,,
Microgynon™,,,,30mcg,150mcg,
Yasmin™,,,3mg,30mcg,,
Yaz ™ (only FDA-approved,,,,,,
,,,3mg,20mcg,,
agent in Singapore),,,,,,
