0,1,2,3,4,5,6,7,8,9,10,11
JGIM,,Tran et al.: The Effect of Hospital Isolation Precautions on Patient Outcomes,,,,,,,,,265
,Table 1 Characteristics of Hospitalized Individuals by Group (pre-match and post-match),,,,,,,,,,
Variable,Before matching,,,,,After matching,,,,,
,Control,MRSA,,Respiratory,,MRSA,,,,Respiratory illness,
,"(n = 17,649)",(n = 745),,illness (n =,,(n = 737),,,(n = 1502),,
,,,,1506),,8 cases dropped,,,4 cases dropped,,
,,Value,Std.,Value,Std.,Isolated,Control,Std.,Isolated,Control,Std.
,,,diff.,,diff.,,,diff.,,,diff.
Age (years),67.9,69.0,0.08,71.7,0.29,69.0,69.0,0.00,71.7,70.6,0.06
Male (%),50,58,0.22,53,0.10,57,58,0.00,53,55,−0.03
Number of admissions in,0.24,0.38,0.33,0.27,0.08,0.38,0.39,−0.01,0.27,0.28,−0.01
previous 90 days,,,,,,,,,,,
Length of stay in previous 90,2.12,4.38,0.36,2.95,0.13,3.88,3.4,0.04,2.95,2.94,0.00
days (days),,,,,,,,,,,
Resource Intensity Weight,1.52,2.87,0.76,1.84,0.21,2.3,2.08,0.07,1.8,1.84,−0.01
CMG196 – heart failure,6,7,0.06,5,−0.04,7,7,0.01,5,5,0.00
without cardiac catheter (%),,,,,,,,,,,
CMG138 – viral/unspecified,3,6,0.28,25,1.47,7,7,−0.02,25,24,0.04
pneumonia (%),,,,,,,,,,,
CMG139 – chronic obstructive,3,6,0.29,15,0.92,6,7,−0.02,15,16,−0.03
pulmonary disease (%),,,,,,,,,,,
CMG254 – gastrointestinal,3,2,−0.10,0,−0.25,2,2,0.00,0,0,N/A
hemorrhage (%),,,,,,,,,,,
CMG487 – lower urinary tract,4,7,0.24,3,−0.02,7,7,−0.02,3,3,0.01
infection (%),,,,,,,,,,,
