0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,"6 months –1 years,",,,,,,,,,,,
,"≤6 months, n = 595",,n = 408,,"1–2 years, n = 408",,"2–4 years, n = 404",,"4–6 years, n = 114",,">6 years, n = 96",,"All ages, n = 2025",
,"No.
(%)",Mixed,"No.
(%)",Mixed,"No.
(%)",Mixed,"No.
(%)",Mixed,"No.
(%)",Mixed,"No.
(%)",Mixed,"No.
(%)",Mixed
Positive,"300 (14(cid:1)8)*,**",,182 (9(cid:1)0)***,,211 (10(cid:1)4)***,,197 (9(cid:1)7)***,,48 (2(cid:1)4)†,,33 (1(cid:1)6)†,,971 (48(cid:1)0),
Single,213 (21(cid:1)9)††,,126 (13(cid:1)0),,146 (15(cid:1)0),,129 (13(cid:1)3),,32 (3(cid:1)3),,23 (2(cid:1)4),,669 (68(cid:1)9),
Mixed,87 (9(cid:1)0)††,,56 (5(cid:1)8),,65 (6(cid:1)7),,68 (7(cid:1)0),,16 (1(cid:1)6),,10 (1(cid:1)0),,302 (31(cid:1)1),
Negative,295 (14(cid:1)6)*,,226 (11(cid:1)2),,197 (9(cid:1)7),,207 (10(cid:1)2),,66 (3(cid:1)3),,63 (3(cid:1)1),,1054 (52(cid:1)0),
RSV,109 (11(cid:1)2)†††,45 (41(cid:1)3)‡,54 (5(cid:1)6),27 (50(cid:1)0),57 (5(cid:1)9),24 (42(cid:1)1),60 (6(cid:1)2),27 (45(cid:1)0),8 (0(cid:1)8),5 (62(cid:1)5),8 (0(cid:1)8),5 (62(cid:1)5),296 (30(cid:1)5),133 (44(cid:1)9)
IAV,97 (10(cid:1)0),58 (59(cid:1)8),55 (5(cid:1)7),32 (58(cid:1)2),90 (9(cid:1)3),38 (42(cid:1)2),68 (7(cid:1)0),36 (52(cid:1)9),25 (2(cid:1)6),9 (36(cid:1)0),13 (1(cid:1)3),3 (23(cid:1)1),348 (35(cid:1)8),176 (50(cid:1)6)
IBV,6 (0(cid:1)6),4 (66(cid:1)7),3 (0(cid:1)3),2 (66(cid:1)7),3 (0(cid:1)3),1 (33(cid:1)3),7 (0(cid:1)7),5 (71(cid:1)4),2 (0(cid:1)2),2 (100(cid:1)0),0 (0(cid:1)0),0 (0(cid:1)0),21 (2(cid:1)2),14 (66(cid:1)7)
HRV,66 (6(cid:1)8),34 (51(cid:1)5),45 (4(cid:1)6),25 (55(cid:1)6),44 (4(cid:1)5),27 (61(cid:1)4),38 (3(cid:1)9),28 (73(cid:1)7),9 (0(cid:1)9),5 (55(cid:1)6),7 (0(cid:1)7),5 (71(cid:1)4),209 (21(cid:1)5),124 (59(cid:1)3)
PIV1,15 (1(cid:1)5),8 (53(cid:1)3),14 (1(cid:1)4),9 (64(cid:1)3),11 (1(cid:1)1),5 (45(cid:1)5),13 (1(cid:1)3),8 (61(cid:1)5),4 (0(cid:1)4),3 (75(cid:1)0),2 (0(cid:1)2),2 (100(cid:1)0),59 (6(cid:1)1),35 (59(cid:1)3)
PIV3,32 (3(cid:1)3),13 (40(cid:1)6),23 (2(cid:1)4),9 (39(cid:1)1),26 (2(cid:1)7),17 (65(cid:1)4),24 (2(cid:1)5),18 (75(cid:1)0),5 (0(cid:1)5),2 (40(cid:1)0),0 (0(cid:1)0),0 (0(cid:1)0),110 (11(cid:1)3),59 (53(cid:1)6)
BOV,23 (2(cid:1)4),13 (56(cid:1)5),22 (2(cid:1)3),6 (27(cid:1)3),26 (2(cid:1)7),13 (50(cid:1)0),19 (2(cid:1)0),7 (36(cid:1)8),6 (0(cid:1)6),4 (66(cid:1)7),4 (0(cid:1)4),2 (50(cid:1)0),100 (10(cid:1)3),45 (45(cid:1)0)
ADV,25 (2(cid:1)6),7 (28(cid:1)0),20 (2(cid:1)1),9 (45(cid:1)0),14 (1(cid:1)4),9 (64(cid:1)3),16 (1(cid:1)6),6 (37(cid:1)5),5 (0(cid:1)5),4 (80(cid:1)0),9 (0(cid:1)9),5 (55(cid:1)6),89 (9(cid:1)2),40 (44(cid:1)9)
HMPV,21 (2(cid:1)2),10 (47(cid:1)6),12 (1(cid:1)2),5 (41(cid:1)7),9 (0(cid:1)9),2 (22(cid:1)2),17 (1(cid:1)8),7 (41(cid:1)2),4 (0(cid:1)4),3 (75(cid:1)0),1 (0(cid:1)1),0 (0(cid:1)0),64 (6(cid:1)6),27 (42(cid:1)2)
WUPoyV,11 (1(cid:1)1),2 (18(cid:1)2),5 (0(cid:1)5),2 (40(cid:1)0),6 (0(cid:1)6),3 (50(cid:1)0),14 (1(cid:1)4),5 (35(cid:1)7),2 (0(cid:1)2),1 (50(cid:1)0),1 (0(cid:1)1),0 (0(cid:1)0),39 (4(cid:1)0),13 (33(cid:1)3)
Episodes,405 (41(cid:1)7),194 (47(cid:1)9),253 (26(cid:1)1),126 (49(cid:1)8),286 (29(cid:1)5),139 (48(cid:1)6),276 (28(cid:1)4),148 (53(cid:1)6),70 (7(cid:1)2),38 (54(cid:1)3),45 (4(cid:1)6),22 (48(cid:1)9),1335 (-),666 (49(cid:1)9)
