0,1,2,3,4
Table 1. Characteristics of H1N1pdm influenza subjects.,,,,
SUBJECT CHARACTERISTIC,,DISEASE SEVERITY,,ALL SUBJECTS
,,Severe,Mild,
,,(total n = 39),(total n = 160),(total n = 199)
,,n (%),n (%),n (%)
AGE,Subjects with available age data,34 (87.2),147 (91.8),181 (91.0)
,"in years, mean6SD",27.8621.6*,23.9615.5,24.7616.8
AGE RISK CATEGORY,"High risk: ,6 or .55 years",14 (41.2)**,12 (8.2),26 (14.4)
,Low risk: 6–55 years,20 (58.8),135 (91.8),155 (85.6)
SEX,Subjects with available sex data,35 (89.7),149 (93.1),184 (92.5)
,Female,15 (42.9)1,89 (59.7),104 (56.5)
,Male,20 (57.1),60 (40.3),80 (43.5)
ANTI-MICROBIAL STATUS,Subjects with available drug data,29 (74.3),91 (56.9),120 (60.3)
,No antimicrobial drugs,"3 (10.3)""",2 (2.2),5 (4.2)
,Antiviral drugs only,10 (34.5),86 (94.5),96 (80.0)
,Antibacterial drugs only,13 (44.8),1 (1.1),14 (11.7)
,Antivirals + antibacterials,3 (10.3),2 (2.2),5 (4.2)
MEDICAL RISK FACTOR,,4 (10.3)#,1 (0.6),5 (2.5)
