0,1,2,3,4,5,6,7,8,9,10,11,12
Viral Profile of COPD Exacerbations According to Patients,,,,,,,,"The Open Respiratory Medicine Journal, 2015, Volume 9    7",,,,
Table 5.,Seasonal pattern of respiratory viruses in non-elderly and elderly patients.,,,,,,,,,,,
Season,,Winter (%),,,Spring (%),,,Summer (%),,,Autumn (%),
Isolated Viruses,NE=13,E=31,P value,NE=11,E=31,P Value,NE=5,E=10,P Value,NE=11,E=24,p Value
hRSVA,6 (46),19 (61),0.56,4 (36),13 (42),0.75,3 (60),9 (90),0.49,2 (18),5 (20),0.74
hRSVB,4 (30),7 (13),0.36,6 (54),14 (45),0.87,4 (80),7 (70),0.83,7 (63),16 (67),0.87
Adenovirus,1 (7),1 (3),0.8,1 (9),1 (3),0.98,0,0,-,0,0,-
Coronavirus,0,1 (3),0.6,1 (9),2 (6),0.72,0,0,-,0,0,-
Rhinovirus,0,2 (6),0.9,2 (18),2 (6),0.56,0,3 (30),0.49,2 (18),6 (25),0.98
hPIV3,0,2 (6),0.9,0,4 (13),0.5,0,3 (30),0.49,3 (27),10 (41),0.67
hPIV4,0,1 (3),0.6,0,0,-,0,0,-,4 (36),5 (21),0.59
Ederovirus B,0,0,-,0,1 (3),0.54,0,0,-,0,0,-
Echovirus,0,0,-,0,1 (3),0.54,0,0,-,0,0,-
hMPVA,2 (15),1 (3),0.4,1 (9),3 (9.5),0.58,0,0,-,0,1 (4),0.65
hMPVB,0,1 (3),0.6,0,1 (3),0.54,0,0,-,0,0,-
influenza A,3 (23),5 (16),0.9,0,2 (6),0.98,0,1 (10),0.71,0,0,-
influenza B,0,3 (9.5),0.6,2 (18),5 (16),0.75,2 (40),2 (20),0.83,0,0,-
influenza C,0,0,-,0,2 (6),0.98,0,0,-,1 (9),9 (37.5),0.18
Bocavirus,0,0,-,0,0,-,1(20),0,0.71,0,0,-
,"hRSVA, B =human Respiratory Suncytial Virus A and B, hPIV3,4=human Parainfluenza Virus type 3, 4= human Parainfluenza Virus type 4, hMPVA, B= human Metapneumovirus",,,,,,,,,,,
