0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,,,,,,,,,,,,Journal of Tropical Medicine,,,
,,,,Table 1: Distribution of viral pathogens according to the age of the patients.,,,,,,,,,,,
Age (years) N,,Virus Neg,,Adeno HBoV HEV∗ total HEV∗ HRV- HMPV HRV,,,,,Inﬂ. A,Inﬂ. B,Inﬂ. C,PIV1,PIV2,PIV3,RSV
<1,132,30,8,4,12,5,2,47,1,0,4,6,6,33,1
1-2,40,8,4,1,4,1,0,17,2,1,4,3,4,8,0
2-3,24,4,0,0,2,0,2,6,0,0,2,4,8,1,0
3-4,7,1,0,0,0,0,1,2,0,1,0,1,1,2,0
4-5,9,4,0,0,1,0,1,2,0,0,1,0,0,1,0
>5,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
no age,31,9,0,1,4,1,1,12,0,0,1,1,2,5,0
Total,246,57,12,6,23,7,7,87,3,2,12,16,21,50,1
∗,,,,,,,,,,,,,,,
,"Our HEV test can react with some HRV strains. “Total” shows the number of all specimens testing positive in the HEV assay, “HRV-” those where the HRV",,,,,,,,,,,,,,
